test,N,dim,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
re,1,2,100,1,4.298985004425049e-06,1.7547979950904846e-05,4.318077117204666e-06,8.281785994768143e-06,4.886109381914139e-06,4.298985004425049e-06,8.068131545315401e-06,100,4.400033503770828e-06,0
re2,1,2,100,1,4.248227924108505e-06,9.027868509292603e-05,4.317145794630051e-06,1.0061077773571014e-05,6.515653803944588e-06,4.248227924108505e-06,2.3247427515920617e-05,100,5.830544978380203e-06,0
re,10,2,100,1,3.077322617173195e-05,5.062716081738472e-05,3.0978117138147354e-05,4.450976848602295e-05,3.4228526055812834e-05,3.077322617173195e-05,3.9777245130696295e-05,100,3.3996766433119774e-05,0
re2,10,2,100,1,2.560904249548912e-05,3.934185951948166e-05,2.7144793421030045e-05,3.8539059460163116e-05,3.080411814153194e-05,2.560904249548912e-05,3.6191308077864244e-05,100,3.069313243031502e-05,0
re,100,2,100,1,0.0008289758116006851,0.001092539168894291,0.000846771989017725,0.0010525370016694069,0.001002502478659153,0.0009090762581463423,0.001092539168894291,100,0.0010101054795086384,0
re2,100,2,100,1,0.0009551998227834702,0.001059595961123705,0.0009569493122398853,0.0010419366881251335,0.0009778033383190633,0.0009551998227834702,0.0010180410017888379,100,0.0009689563885331154,0
re,1,5,100,1,3.3318065106868744e-06,9.428523480892181e-05,3.3513642847537994e-06,4.0298327803611755e-06,4.420620389282703e-06,3.3318065106868744e-06,2.213627076740767e-05,100,3.46451997756958e-06,0
re2,1,5,100,1,3.2009556889533997e-06,6.313435733318329e-05,3.218185156583786e-06,3.7588179111480713e-06,4.002754576504231e-06,3.2009556889533997e-06,1.565974273478725e-05,100,3.383960574865341e-06,0
re,10,5,100,1,3.413017839193344e-05,5.3443945944309235e-05,3.439793363213539e-05,4.3138861656188965e-05,3.550988622009754e-05,3.413017839193344e-05,4.02457015264576e-05,100,3.508781082928181e-05,0
re2,10,5,100,1,3.062328323721886e-05,5.3353141993284225e-05,3.0773691833019257e-05,3.3023301512002945e-05,3.1882515177130696e-05,3.062328323721886e-05,3.659272672750357e-05,100,3.151386044919491e-05,0
re,100,5,100,1,0.00186119694262743,0.0023306221701204777,0.0018735690973699093,0.002300275955349207,0.0021374039305374027,0.0019002167085797486,0.0023306221701204777,100,0.002160541946068406,0
re2,100,5,100,1,0.002119401004165411,0.0022597801871597767,0.0021224920637905598,0.002248652745038271,0.002149577932432294,0.002119401004165411,0.002214839969477237,100,0.0021373704075813293,0
re,1,10,100,1,3.539957106113434e-06,6.511993706226349e-05,3.579072654247284e-06,1.0780058801174164e-05,4.598330706357956e-06,3.539957106113434e-06,1.704394926274103e-05,100,3.6854762583971024e-06,0
re2,1,10,100,1,3.4472905099391937e-06,6.554927676916122e-05,3.464985638856888e-06,4.0871091187000275e-06,4.291930235922337e-06,3.4472905099391937e-06,1.636858855562152e-05,100,3.650551661849022e-06,0
re,10,10,100,1,5.265232175588608e-05,0.0001368662342429161,5.288096144795418e-05,6.476836279034615e-05,5.5087637156248094e-05,5.265232175588608e-05,7.17763813171069e-05,100,5.395920015871525e-05,0
re2,10,10,100,1,5.0941016525030136e-05,7.117399945855141e-05,5.161575973033905e-05,5.962233990430832e-05,5.3196423687040804e-05,5.0941016525030136e-05,5.761543659132145e-05,100,5.291774868965149e-05,0
re,100,10,100,1,0.003598080947995186,0.004387411288917065,0.003611210733652115,0.004363351035863161,0.004094517948105931,0.0036850821331659653,0.004387411288917065,100,0.004147151950746775,0
re2,100,10,100,1,0.004108734894543886,0.0044422028586268425,0.004115242976695299,0.004412325099110603,0.00422272122465074,0.004108734894543886,0.004397030290790725,100,0.004183716606348753,0
