lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_ort,upper_diff_ort,lower_diff_ort,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_classes_.shape,fit_n_classes_,fit_estimators_.size,fit_estimators_.n_classes_,fit_estimators_.max|tree_.max_depth,fit_estimators_.classes_.shape,fit_estimators_.n_features_,fit_estimators_.sum|tree_.node_count,fit_estimators_.sum|tree_.leave_count,fit_class_count_.shape,fit_feature_count_.shape,fit_feature_log_prob_.shape,fit_class_log_prior_.shape,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_.sum|.sum|tree_.leave_count,fit_estimators_..n_classes_,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_..n_features_,fit_estimators_.sum|.sum|tree_.node_count,fit_objective,fit_n_classes,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_intercept_.shape,fit_n_iter_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
ort,1,breast_cancer,-1,ADA-ZM,False,5,1,0.0003984244540333748,0.002604425884783268,0.0008458880707621575,0.0003984244540333748,0.0025693222387359583,5,0.0004049595445394516,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,1,breast_cancer,-1,ADA-ZM,False,5,1,0.006265534088015556,0.006614807061851025,0.006366291455924511,0.006265534088015556,0.006613147653957357,5,0.0063210129737854,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,1,breast_cancer,-1,ADA-ZM,False,5,1,0.005178716965019703,0.17545290477573872,0.0392413156107068,0.005178716965019703,0.17272867364177485,5,0.005193839780986309,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,1,breast_cancer,-1,ADA-ZM,False,5,1,0.0030762413516640663,0.0032718172296881676,0.003121503256261349,0.0030762413516640663,0.0032693894936943017,5,0.003083393909037113,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,2.758450570183868e-08,5.1818127899672106e-08,1.516449099625561e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,2,breast_cancer,-1,ADA-ZM,False,5,1,0.0004012715071439743,0.0015284642577171326,0.0006328728049993515,0.0004012715071439743,0.0015106452177546096,5,0.0004096534103155136,3.759244505685544e-08,5.2740136813334004e-08,2.215258032567391e-08,3.201993689083693e-08,5.2740136813334004e-08,1.7104272664880682e-08,3.201993689083693e-08,5.2740136813334004e-08,1.7104272664880682e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,2,breast_cancer,-1,ADA-ZM,False,5,1,0.0064368899911642075,0.0066750990226864815,0.006499370001256466,0.0064368899911642075,0.006674266900345717,5,0.006456272676587105,3.759244505685544e-08,5.2740136813334004e-08,2.215258032567391e-08,3.201993689083693e-08,5.2740136813334004e-08,1.7104272664880682e-08,3.201993689083693e-08,5.2740136813334004e-08,1.7104272664880682e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,2,breast_cancer,-1,ADA-ZM,False,5,1,0.005312241613864899,0.005424349568784237,0.005343658849596977,0.005312241613864899,0.0054238789549097355,5,0.005327155813574791,3.759244505685544e-08,5.2740136813334004e-08,2.215258032567391e-08,3.201993689083693e-08,5.2740136813334004e-08,1.7104272664880682e-08,3.201993689083693e-08,5.2740136813334004e-08,1.7104272664880682e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,2,breast_cancer,-1,ADA-ZM,False,5,1,0.003127266652882099,0.0032246271148324013,0.003150654584169388,0.003127266652882099,0.0032239632606649235,5,0.003129277378320694,3.759244505685544e-08,5.2740136813334004e-08,2.215258032567391e-08,3.201993689083693e-08,5.2740136813334004e-08,1.7104272664880682e-08,3.201993689083693e-08,5.2740136813334004e-08,1.7104272664880682e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,5,breast_cancer,-1,ADA-ZM,False,5,1,0.0004240768030285835,0.0015179738402366638,0.0006462490186095238,0.0004240768030285835,0.0015005937955153146,5,0.00042712315917015076,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,5,breast_cancer,-1,ADA-ZM,False,5,1,0.006452235393226147,0.006692198105156422,0.0065309030935168265,0.006452235393226147,0.006692198105156422,5,0.006510782986879349,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
