lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_estimators_.size,fit_estimators_.max|tree_.max_depth,fit_estimators_.n_classes_,fit_estimators_.sum|tree_.leave_count,fit_estimators_.sum|tree_.node_count,fit_estimators_.n_features_,fit_n_classes_,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_.sum|.sum|tree_.node_count,fit_estimators_..n_classes_,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_..n_features_,fit_estimators_.sum|.sum|tree_.leave_count,fit_validation_score_.shape,fit__predictors.size,fit__predictors.max|tree_.max_depth,fit__predictors.sum|tree_.leave_count,fit__predictors.sum|tree_.node_count,fit_objective,fit_n_targets,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_singular_.shape,fit_intercept_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
ort,1,boston,-1,ADA,False,5,1,8.153589442372322e-05,0.00021450920030474663,0.00011193379759788513,8.153589442372322e-05,0.0002127466259833353,5,9.0078916400671e-05,5.414782769719295e-07,1.4716598428776706e-06,1.1567150437485907e-07,5.414782769719295e-07,1.4716598428776706e-06,1.1567150437485907e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,1,boston,-1,ADA,False,5,1,0.002355750184506178,0.00248551182448864,0.002388244587928057,0.002355750184506178,0.002484116035299906,5,0.0023675020784139633,5.414782769719295e-07,1.4716598428776706e-06,1.1567150437485907e-07,5.414782769719295e-07,1.4716598428776706e-06,1.1567150437485907e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,1,boston,-1,ADA,False,5,1,0.0006508682854473591,0.0007761581800878048,0.0006866002455353737,0.0006508682854473591,0.0007761581800878048,5,0.0006550140678882599,5.414782769719295e-07,1.4716598428776706e-06,1.1567150437485907e-07,5.414782769719295e-07,1.4716598428776706e-06,1.1567150437485907e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,1,boston,-1,ADA,False,5,1,0.0003825421445071697,0.0004101651720702648,0.000390595942735672,0.0003825421445071697,0.00041011898958669287,5,0.0003860597498714924,5.414782769719295e-07,1.4716598428776706e-06,1.1567150437485907e-07,5.414782769719295e-07,1.4716598428776706e-06,1.1567150437485907e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,2,boston,-1,ADA,False,5,1,8.615804836153984e-05,0.00014079781249165535,9.909616783261299e-05,8.615804836153984e-05,0.000140184323945892,5,8.91461968421936e-05,6.111343701320493e-07,9.39002404720668e-07,2.7743249830791683e-07,6.111343701320493e-07,9.39002404720668e-07,2.7743249830791683e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,2,boston,-1,ADA,False,5,1,0.002365026157349348,0.0024435678496956825,0.0023845585994422434,0.002365026157349348,0.0024428009938432635,5,0.0023705819621682167,6.111343701320493e-07,9.39002404720668e-07,2.7743249830791683e-07,6.111343701320493e-07,9.39002404720668e-07,2.7743249830791683e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,2,boston,-1,ADA,False,5,1,0.0006836140528321266,0.0007212827913463116,0.0006946336477994918,0.0006836140528321266,0.0007212159055266587,5,0.0006901267915964127,6.111343701320493e-07,9.39002404720668e-07,2.7743249830791683e-07,6.111343701320493e-07,9.39002404720668e-07,2.7743249830791683e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,2,boston,-1,ADA,False,5,1,0.0004165489226579666,0.000441964715719223,0.00042526451870799064,0.0004165489226579666,0.000441964715719223,5,0.0004228190518915653,6.111343701320493e-07,9.39002404720668e-07,2.7743249830791683e-07,6.111343701320493e-07,9.39002404720668e-07,2.7743249830791683e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,5,boston,-1,ADA,False,5,1,0.00010263873264193535,0.00015774322673678398,0.00011496143415570259,0.00010263873264193535,0.00015696500018706216,5,0.00010513607412576675,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,5,boston,-1,ADA,False,5,1,0.0023761740885674953,0.0024498170241713524,0.002402345184236765,0.0023761740885674953,0.0024498170241713524,5,0.00239432230591774,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,5,boston,-1,ADA,False,5,1,0.0007172063924372196,0.0007501351647078991,0.0007280489429831505,0.0007172063924372196,0.0007501351647078991,5,0.0007201540283858776,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,5,boston,-1,ADA,False,5,1,0.0004517892375588417,0.0004680696874856949,0.00045870225876569747,0.0004517892375588417,0.0004680696874856949,5,0.000458455178886652,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,10,boston,-1,ADA,False,5,1,0.0001287427730858326,0.00018390314653515816,0.00014245882630348206,0.0001287427730858326,0.00018346892290151107,5,0.0001324741169810295,8.572642421711407e-07,9.501290314517519e-07,7.740772574038601e-07,8.572642421711407e-07,9.501290314517519e-07,7.740772574038601e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
