lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_estimators_.size,fit_estimators_.n_classes_,fit_estimators_.sum|tree_.node_count,fit_estimators_.n_features_,fit_estimators_.sum|tree_.leave_count,fit_estimators_.max|tree_.max_depth,fit_n_classes_,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_..n_features_,fit_estimators_..n_classes_,fit_estimators_.sum|.sum|tree_.node_count,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_.sum|.sum|tree_.leave_count,fit_validation_score_.shape,fit__predictors.size,fit__predictors.sum|tree_.node_count,fit__predictors.sum|tree_.leave_count,fit__predictors.max|tree_.max_depth,fit__fit_X.shape,fit_objective,fit_n_targets,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_singular_.shape,fit_intercept_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
ort,1,boston,-1,ADA,False,5,1,8.172309026122093e-05,0.00021611899137496948,0.00011055879294872284,8.172309026122093e-05,0.00021414280364620819,5,8.343532681465149e-05,1.5174443213084032e-07,2.818064679388499e-07,3.7035725597434066e-09,1.5174443213084032e-07,2.818064679388499e-07,3.7035725597434066e-09,50.0,50.0,50.0,1.0,714.0,13.0,382.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,1,boston,-1,ADA,False,5,1,0.0023294640704989433,0.002490935381501913,0.002371519152075052,0.0023294640704989433,0.00249000211398977,5,0.002347176894545555,1.5174443213084032e-07,2.818064679388499e-07,3.7035725597434066e-09,1.5174443213084032e-07,2.818064679388499e-07,3.7035725597434066e-09,50.0,50.0,50.0,1.0,714.0,13.0,382.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,1,boston,-1,ADA,False,5,1,0.0006160377524793148,0.0007999199442565441,0.000670366920530796,0.0006160377524793148,0.0007999199442565441,5,0.0006468440406024456,1.5174443213084032e-07,2.818064679388499e-07,3.7035725597434066e-09,1.5174443213084032e-07,2.818064679388499e-07,3.7035725597434066e-09,50.0,50.0,50.0,1.0,714.0,13.0,382.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,1,boston,-1,ADA,False,5,1,0.00036207400262355804,0.0004006647504866123,0.0003715064376592636,0.00036207400262355804,0.0004004553296610366,5,0.00036333873867988586,1.5174443213084032e-07,2.818064679388499e-07,3.7035725597434066e-09,1.5174443213084032e-07,2.818064679388499e-07,3.7035725597434066e-09,50.0,50.0,50.0,1.0,714.0,13.0,382.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,2,boston,-1,ADA,False,5,1,8.611287921667099e-05,0.0001595020294189453,0.00010549342259764671,8.611287921667099e-05,0.00015940717898533304,5,9.28700901567936e-05,1.1488045366547794e-06,1.7502728795193434e-06,5.62165919149038e-07,1.1488045366547794e-06,1.7502728795193434e-06,5.62165919149038e-07,50.0,50.0,50.0,1.0,714.0,13.0,382.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,2,boston,-1,ADA,False,5,1,0.0023258267901837826,0.0024083121679723263,0.002355670370161533,0.0023258267901837826,0.0024083121679723263,5,0.002345386892557144,1.1488045366547794e-06,1.7502728795193434e-06,5.62165919149038e-07,1.1488045366547794e-06,1.7502728795193434e-06,5.62165919149038e-07,50.0,50.0,50.0,1.0,714.0,13.0,382.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,2,boston,-1,ADA,False,5,1,0.0006601819768548012,0.0007146080024540424,0.0006771352142095566,0.0006601819768548012,0.0007146080024540424,5,0.0006641382351517677,1.1488045366547794e-06,1.7502728795193434e-06,5.62165919149038e-07,1.1488045366547794e-06,1.7502728795193434e-06,5.62165919149038e-07,50.0,50.0,50.0,1.0,714.0,13.0,382.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,2,boston,-1,ADA,False,5,1,0.00040179304778575897,0.0004316079430282116,0.00040944432839751244,0.00040179304778575897,0.0004316079430282116,5,0.00040258467197418213,1.1488045366547794e-06,1.7502728795193434e-06,5.62165919149038e-07,1.1488045366547794e-06,1.7502728795193434e-06,5.62165919149038e-07,50.0,50.0,50.0,1.0,714.0,13.0,382.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,5,boston,-1,ADA,False,5,1,0.00010214699432253838,0.00017104670405387878,0.00011753877624869347,0.00010214699432253838,0.00017009585709348217,5,0.00010364409536123276,8.63165738707039e-07,1.220703119031441e-06,5.62165919149038e-07,8.63165738707039e-07,1.220703119031441e-06,5.62165919149038e-07,50.0,50.0,50.0,1.0,714.0,13.0,382.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,5,boston,-1,ADA,False,5,1,0.002346623223274946,0.002436618320643902,0.002379672322422266,0.002346623223274946,0.002436618320643902,5,0.0023727361112833023,8.63165738707039e-07,1.220703119031441e-06,5.62165919149038e-07,8.63165738707039e-07,1.220703119031441e-06,5.62165919149038e-07,50.0,50.0,50.0,1.0,714.0,13.0,382.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
