test,N,n_jobs,dim,repeat,number,min,max,mean,lower,upper,count,median,error_c
joblib,1000,1,5,3,1,3.9753079,4.6498487000000015,4.424372633333335,3.9753079,4.6498487000000015,3,4.647961300000002,0
memory,1000,1,5,3,1,1.4361007000000008,1.610679900000001,1.5480670000000007,1.4361007000000008,1.610679900000001,3,1.5974204000000007,0
no,1000,1,5,3,1,1.7516420000000004,2.043843599999999,1.8816751333333326,1.7516420000000004,2.043843599999999,3,1.8495397999999987,0
joblib,1000,3,5,3,1,4.114608000000004,4.4431078,4.276456566666667,4.114608000000004,4.4431078,3,4.271653899999997,0
memory,1000,3,5,3,1,1.2531809999999979,1.483858099999999,1.353680533333332,1.2531809999999979,1.483858099999999,3,1.3240024999999989,0
no,1000,3,5,3,1,1.429985600000002,1.5522126999999983,1.5107871666666668,1.429985600000002,1.5522126999999983,3,1.5501632,0
joblib,10000,1,5,3,1,11.663830599999997,12.514055999999997,11.965605666666663,11.663830599999997,12.514055999999997,3,11.718930399999998,0
memory,10000,1,5,3,1,9.579588700000002,10.801205299999992,10.0424127,9.579588700000002,10.801205299999992,3,9.746444100000005,0
no,10000,1,5,3,1,9.38213669999999,10.45540960000001,10.012977833333332,9.38213669999999,10.45540960000001,3,10.2013872,0
joblib,10000,3,5,3,1,11.7500402,12.552355800000015,12.240793966666672,11.7500402,12.552355800000015,3,12.4199859,0
memory,10000,3,5,3,1,6.943305899999984,10.093073099999998,8.380462366666658,6.943305899999984,10.093073099999998,3,8.105008099999992,0
no,10000,3,5,3,1,6.511680100000007,8.455162100000024,7.416039800000012,6.511680100000007,8.455162100000024,3,7.281277200000005,0
joblib,1000,1,20,3,1,3.4893017999999927,3.5526026999999942,3.5137057999999968,3.4893017999999927,3.5526026999999942,3,3.4992129000000034,0
memory,1000,1,20,3,1,0.9825681999999745,1.0274589999999932,1.0065743999999957,0.9825681999999745,1.0274589999999932,3,1.0096960000000195,0
no,1000,1,20,3,1,1.4341122000000155,1.5365280999999982,1.4736746333333315,1.4341122000000155,1.5365280999999982,3,1.4503835999999808,0
joblib,1000,3,20,3,1,3.427637599999997,3.594430100000011,3.507335100000006,3.427637599999997,3.594430100000011,3,3.4999376000000098,0
memory,1000,3,20,3,1,0.9223177000000078,1.0074089999999956,0.9746014666666648,0.9223177000000078,1.0074089999999956,3,0.9940776999999912,0
no,1000,3,20,3,1,1.4193921999999475,1.5297222999999462,1.4813987999999654,1.4193921999999475,1.5297222999999462,3,1.4950819000000024,0
joblib,10000,1,20,3,1,9.48380689999999,10.829376400000001,10.302541599999984,9.48380689999999,10.829376400000001,3,10.59444149999996,0
memory,10000,1,20,3,1,6.755342199999973,8.144722399999978,7.555256833333317,6.755342199999973,8.144722399999978,3,7.7657059,0
no,10000,1,20,3,1,7.965492999999981,9.124063499999977,8.571933799999991,7.965492999999981,9.124063499999977,3,8.626244900000017,0
joblib,10000,3,20,3,1,10.004739900000004,11.327290199999993,10.789146233333327,10.004739900000004,11.327290199999993,3,11.035408599999982,0
memory,10000,3,20,3,1,8.384543299999962,9.394567999999992,8.965112766666644,8.384543299999962,9.394567999999992,3,9.11622699999998,0
no,10000,3,20,3,1,8.804908699999999,9.362645499999985,9.084934533333316,8.804908699999999,9.362645499999985,3,9.087249399999962,0
