lib,rt,N,dataset,dim,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,fit_train_score_.shape,fit_validation_score_.shape,fit_n_features_,fit__predictors.size,fit__predictors.sum|tree_.leave_count,fit__predictors.sum|tree_.node_count,fit__predictors.max|tree_.max_depth,fit_estimators_.size,fit_estimators_.sum|tree_.node_count,fit_estimators_.max|tree_.max_depth,fit_estimators_.sum|tree_.leave_count,fit_estimators_.n_features_,fit_estimators_.n_classes_,fit_objective,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_n_targets
sklh,,1,breast_cancer,-1,10,1,0.0018609720282256603,0.0020508458837866783,0.001888676080852747,0.0019143316894769669,0.0019070765003561974,0.0018609720282256603,0.0020076639282119195,10,0.0018919745925813913,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,1,breast_cancer,-1,10,1,0.0055358572863042355,0.011295108124613762,0.008327865973114967,0.011117278132587671,0.008437299728393554,0.0055358572863042355,0.011295108124613762,10,0.008365029701963067,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,1,breast_cancer,-1,10,1,3.112759441137314e-05,0.00012047123163938522,3.2481271773576736e-05,3.724079579114914e-05,4.406808875501156e-05,3.112759441137314e-05,9.513914486926337e-05,10,3.438396379351616e-05,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,2,breast_cancer,-1,10,1,0.0017486843280494213,0.006033053621649742,0.0017588399350643158,0.0018065241165459156,0.0021984854247421026,0.0017486843280494213,0.004704200572492325,10,0.0017636551056057215,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,2,breast_cancer,-1,10,1,0.0043484242632985115,0.01281672716140747,0.008099302183836699,0.00880507891997695,0.008202082151547075,0.0043484242632985115,0.01281672716140747,10,0.008459702134132385,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,2,breast_cancer,-1,10,1,4.0821731090545654e-05,5.747517570853233e-05,4.260195419192314e-05,4.698289558291435e-05,4.502139054238796e-05,4.0821731090545654e-05,5.424684717094001e-05,10,4.281359724700451e-05,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,5,breast_cancer,-1,10,1,0.001767708919942379,0.0032299882732331753,0.0017710141837596893,0.001806812360882759,0.0020611504092812537,0.001767708919942379,0.003166148344558007,10,0.0017821525689214468,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,5,breast_cancer,-1,10,1,0.0029429770074784756,0.008638720959424973,0.00562154408544302,0.005894001107662916,0.005478501319885254,0.0029429770074784756,0.008236267808267361,10,0.0057028234004974365,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,5,breast_cancer,-1,10,1,6.980914622545242e-05,8.634896948933601e-05,7.163174450397491e-05,7.236003875732422e-05,7.322831079363823e-05,6.980914622545242e-05,8.210103048055218e-05,10,7.191440090537071e-05,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,10,breast_cancer,-1,10,1,0.001765563152730465,0.004930131137371063,0.0017833900637924671,0.001937303226441145,0.002135921595618129,0.001765563152730465,0.003965895837792267,10,0.0018007480539381504,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,10,breast_cancer,-1,10,1,0.0029060542583465576,0.011291616130620241,0.005827201995998621,0.011246508918702602,0.007696988340467214,0.0029060542583465576,0.011291616130620241,10,0.007191728800535202,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,10,breast_cancer,-1,10,1,0.00011513987556099892,0.0001351446844637394,0.00011836318299174309,0.00012180209159851074,0.00012039071880280972,0.00011513987556099892,0.00013092151474560453,10,0.00011897343210875988,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,20,breast_cancer,-1,10,1,0.0017873402684926987,0.0018222969956696033,0.001792845781892538,0.001803371123969555,0.0017989694606512785,0.0017873402684926987,0.0018199847321218334,10,0.001797576667740941,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,20,breast_cancer,-1,10,1,0.00434310594573617,0.012077820021659136,0.00846624979749322,0.008759176824241877,0.008256077487021684,0.00434310594573617,0.012077820021659136,10,0.008616760838776827,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,20,breast_cancer,-1,10,1,0.00020743068307638168,0.00023208605125546455,0.0002127089537680149,0.00021937629207968712,0.00021596229635179043,0.00020743068307638168,0.00022954361412355224,10,0.0002136295661330223,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,50,breast_cancer,-1,10,1,0.0018305517733097076,0.0018697390332818031,0.0018390263430774212,0.0018512839451432228,0.001844619819894433,0.0018305517733097076,0.0018672301675111047,10,0.0018421353306621313,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,50,breast_cancer,-1,10,1,0.004622971173375845,0.011546427849680185,0.008744145277887583,0.008911806158721447,0.008345129759982228,0.004622971173375845,0.011546427849680185,10,0.00879190256819129,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,50,breast_cancer,-1,10,1,0.0004875641316175461,0.004791404120624065,0.0004921099171042442,0.0004978179931640625,0.0009250441566109657,0.0004875641316175461,0.003451108800305896,10,0.0004942086525261402,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,100,breast_cancer,-1,10,1,0.001907286699861288,0.001982203684747219,0.001912774983793497,0.0019209771417081356,0.0019215980544686317,0.001907286699861288,0.001961972999286247,10,0.00191548652946949,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,100,breast_cancer,-1,10,1,0.0032149506732821465,0.012463190127164125,0.007558099925518036,0.01193203590810299,0.008725302433595062,0.0032149506732821465,0.012463190127164125,10,0.009157878113910556,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,100,breast_cancer,-1,10,1,0.000920112244784832,0.0024588201195001602,0.0009506968781352043,0.0009706658311188221,0.001102143293246627,0.000920112244784832,0.001989144239069239,10,0.0009544608183205128,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,200,breast_cancer,-1,10,1,0.0020505129359662533,0.0021197707392275333,0.0020606042817234993,0.002083839848637581,0.0020742304623126984,0.0020505129359662533,0.0021197707392275333,10,0.0020655295811593533,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,200,breast_cancer,-1,10,1,0.005420501809567213,0.012722650077193975,0.00961945066228509,0.009825397748500109,0.009261506283655763,0.005420501809567213,0.012722650077193975,10,0.00968161504715681,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,200,breast_cancer,-1,10,1,0.0018167090602219105,0.0019180099479854107,0.001827511005103588,0.001853396650403738,0.001845821039751172,0.0018167090602219105,0.001907103021825563,10,0.0018327177967876196,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,500,breast_cancer,-1,10,1,0.0024424539878964424,0.00251528387889266,0.002455639187246561,0.002472690772265196,0.0024654754903167485,0.0024424539878964424,0.0025038880985394454,10,0.0024637116584926844,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,500,breast_cancer,-1,10,1,0.0009548459202051163,0.0009952029213309288,0.0009566689841449261,0.0009636334143579006,0.0009623023215681314,0.0009548459202051163,0.0009847535365100676,10,0.000958174467086792,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,500,breast_cancer,-1,10,1,0.004649353213608265,0.004712335299700499,0.004660839680582285,0.00467414315789938,0.004669964127242565,0.004649353213608265,0.0047023196834895566,10,0.004664869047701359,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,1000,breast_cancer,-1,10,1,0.003094413783401251,0.0035364129580557346,0.00311594782397151,0.003135879058390856,0.0031604566145688297,0.003094413783401251,0.003407506235454948,10,0.0031199289951473475,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,1000,breast_cancer,-1,10,1,0.0014806007966399193,0.01687327492982149,0.0018934030085802078,0.00894545204937458,0.005436084419488907,0.0014806007966399193,0.01687327492982149,10,0.0018998959567397833,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,1000,breast_cancer,-1,10,1,0.008785871788859367,0.012277482077479362,0.009021066129207611,0.009297355078160763,0.009428334981203079,0.008785871788859367,0.011328386459606205,10,0.009221770102158189,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,2000,breast_cancer,-1,10,1,0.004283243324607611,0.004443587735295296,0.00428624777123332,0.004299603868275881,0.004307306418195367,0.004283243324607611,0.004397567327793327,10,0.004293039441108704,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,2000,breast_cancer,-1,10,1,0.003786108922213316,0.02054941887035966,0.0038358266465365887,0.020236012060195208,0.011899661552160979,0.003786108922213316,0.02054941887035966,10,0.011902786558493972,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,2000,breast_cancer,-1,10,1,0.0174389211460948,0.01795782195404172,0.0174941117875278,0.01762191718444228,0.017581712687388062,0.0174389211460948,0.01785985238061714,10,0.01755583588965237,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,5000,breast_cancer,-1,10,1,0.007426469121128321,0.007675554603338242,0.007448082324117422,0.007470589131116867,0.007486686017364264,0.007426469121128321,0.007640247209175999,10,0.0074527941178530455,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,pyrt,5000,breast_cancer,-1,10,1,0.009353192057460546,0.032187774777412415,0.00951137812808156,0.02579770004376769,0.01749909445643425,0.009353192057460546,0.032187774777412415,10,0.015981038101017475,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,ort,5000,breast_cancer,-1,10,1,0.04368565371260047,0.045918967109173536,0.04384523956105113,0.04455901822075248,0.04442565869539976,0.04368565371260047,0.045918967109173536,10,0.044219974894076586,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
sklh,,10000,breast_cancer,-1,10,1,0.01251582382246852,0.01268070237711072,0.012533147353678942,0.012572441715747118,0.012563459808006883,0.01251582382246852,0.012663477989054267,10,0.012546357931569219,0.0,0.0,30.0,100.0,1160.0,2220.0,6.0,,,,,,,,,,,,
