lib,N,dim,nbnode,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
ort,1,1,1,20,10,0.00012542912736535072,0.00017741904594004154,0.00012807012535631657,0.0001322061289101839,0.0001313515705987811,0.00012542912736535072,0.00015237756017782436,20,0.00012911763042211533,0
npy,1,1,1,20,10,3.89080960303545e-05,5.623791366815567e-05,3.937003202736378e-05,4.761386662721634e-05,4.131636815145612e-05,3.89080960303545e-05,4.973342193859475e-05,20,3.975303843617439e-05,0
ort,10,1,1,20,10,0.00012694299221038818,0.00015064398758113384,0.00012731808237731457,0.0001367309596389532,0.00012981647159904242,0.00012694299221038818,0.00014076920570839837,20,0.0001276194816455245,0
npy,10,1,1,20,10,2.873712219297886e-05,3.7807971239089966e-05,2.877810038626194e-05,3.765919245779514e-05,3.053769469261169e-05,2.873712219297886e-05,3.673344752351309e-05,20,2.908159513026476e-05,0
ort,100,1,1,20,10,0.00012799305841326714,0.00015189195983111858,0.00012834207154810429,0.00013141403906047344,0.00013012022245675325,0.00012799305841326714,0.00014011235734911665,20,0.0001287094783037901,0
npy,100,1,1,20,10,2.869986928999424e-05,5.9786951169371605e-05,2.8847018256783485e-05,3.435090184211731e-05,3.1541171483695504e-05,2.869986928999424e-05,4.5226939514214396e-05,20,2.9014539904892445e-05,0
ort,1000,1,1,20,10,0.00014069397002458572,0.00018809991888701916,0.0001414779108017683,0.0001455489546060562,0.0001464487751945853,0.00014069397002458572,0.00016739952375949564,20,0.00014368712436407804,0
npy,1000,1,1,20,10,3.802403807640076e-05,4.48860228061676e-05,3.823405131697655e-05,4.027504473924637e-05,3.906752681359649e-05,3.802403807640076e-05,4.2332504635261e-05,20,3.851449582725763e-05,0
ort,10000,1,1,20,10,0.00019028992392122746,0.0002250100951641798,0.00019097584299743176,0.00020680297166109085,0.000199069210793823,0.00019028992392122746,0.00021857913414353764,20,0.00019290205091238022,0
npy,10000,1,1,20,10,8.290004916489124e-05,0.0001292868983000517,8.413614705204964e-05,8.90619121491909e-05,8.78967810422182e-05,8.290004916489124e-05,0.00010684673237308492,20,8.527189493179321e-05,0
ort,1,1,2,20,10,0.00014198198914527893,0.00017631705850362778,0.00014482205733656883,0.00015060510486364365,0.00014838313218206166,0.00014198198914527893,0.0001658554549494222,20,0.0001454685116186738,0
npy,1,1,2,20,10,5.976599641144276e-05,6.922311149537563e-05,6.0101039707660675e-05,6.26689288765192e-05,6.19982136413455e-05,5.976599641144276e-05,6.69043084806833e-05,20,6.153143476694822e-05,0
ort,10,1,2,20,10,0.00014140596613287926,0.00016962108202278614,0.0001421780325472355,0.0001437768805772066,0.0001449243165552616,0.00014140596613287926,0.0001586902733712831,20,0.00014274357818067074,0
npy,10,1,2,20,10,4.0723010897636414e-05,4.5971013605594635e-05,4.081288352608681e-05,4.1395192965865135e-05,4.127664724364877e-05,4.0723010897636414e-05,4.34411683512113e-05,20,4.1032442823052406e-05,0
ort,100,1,2,20,10,0.00014153285883367062,0.00016354303807020187,0.00014224182814359665,0.00014354707673192024,0.00014377714833244682,0.00014153285883367062,0.0001527450232409262,20,0.0001426894450560212,0
npy,100,1,2,20,10,4.13570087403059e-05,5.868496373295784e-05,4.1476916521787643e-05,4.641595296561718e-05,4.338724538683891e-05,4.13570087403059e-05,5.1464533230108655e-05,20,4.186551086604595e-05,0
ort,1000,1,2,20,10,0.00016079610213637352,0.00019621709361672401,0.00016167410649359226,0.00017992896027863026,0.00016622543334960939,0.00016079610213637352,0.00018505120052560948,20,0.00016238540410995483,0
npy,1000,1,2,20,10,5.129608325660229e-05,5.798297934234142e-05,5.191098898649216e-05,5.2826013416051865e-05,5.2458117716014384e-05,5.129608325660229e-05,5.507918654940302e-05,20,5.202903412282467e-05,0
ort,10000,1,2,20,10,0.0002366111148148775,0.0002744391094893217,0.00023742718622088432,0.0002393629401922226,0.00024010827764868735,0.0002366111148148775,0.00025575375845407337,20,0.0002382530365139246,0
npy,10000,1,2,20,10,0.00010661408305168152,0.0001323409378528595,0.00010749092325568199,0.00011064903810620308,0.00010957669001072645,0.00010661408305168152,0.00012057489435609809,20,0.00010791851673275232,0
ort,1,1,3,20,10,0.00014519691467285156,0.00017712777480483055,0.0001463519874960184,0.0001511611044406891,0.000150815409142524,0.00014519691467285156,0.00016348244743914924,20,0.00014964654110372066,0
npy,1,1,3,20,10,8.055218495428562e-05,0.00010709906928241253,8.10530036687851e-05,9.011500515043736e-05,8.426121203228832e-05,8.055218495428562e-05,9.566115428522089e-05,20,8.27684998512268e-05,0
ort,10,1,3,20,10,0.0001491820439696312,0.0001767040230333805,0.0001498109195381403,0.00015228916890919209,0.00015269791474565865,0.0001491820439696312,0.00016668228561532607,20,0.0001503585372120142,0
npy,10,1,3,20,10,5.1132868975400925e-05,5.6440941989421844e-05,5.174288526177406e-05,5.2501214668154716e-05,5.2284810226410625e-05,5.1132868975400925e-05,5.4348197060084364e-05,20,5.2082003094255924e-05,0
ort,100,1,3,20,10,0.00014788610860705376,0.0001670320052653551,0.00014813686721026897,0.00015627779066562653,0.00015075503615662454,0.00014788610860705376,0.00016160709366725703,20,0.00014864851254969835,0
npy,100,1,3,20,10,5.208910442888737e-05,5.7447003200650215e-05,5.220295861363411e-05,5.31619880348444e-05,5.2747421432286504e-05,5.208910442888737e-05,5.4953446442778335e-05,20,5.2471645176410675e-05,0
ort,1000,1,3,20,10,0.0001669779885560274,0.00019983388483524323,0.00016853702254593372,0.00017089000903069973,0.00017096101073548197,0.0001669779885560274,0.0001841255133657811,20,0.0001697959378361702,0
npy,1000,1,3,20,10,6.718491204082966e-05,9.681005030870438e-05,6.73648901283741e-05,7.07430299371481e-05,7.051135180518031e-05,6.718491204082966e-05,8.315077570489272e-05,20,6.804405711591244e-05,0
ort,10000,1,3,20,10,0.0002688458189368248,0.0003192948643118143,0.0002699820324778557,0.0002884271088987589,0.00027525348123162984,0.0002688458189368248,0.0003007396036391084,20,0.00027043698355555534,0
npy,10000,1,3,20,10,0.00013897591270506382,0.00018091406673192978,0.00013921293430030346,0.0001437708269804716,0.0001433729426935315,0.00013897591270506382,0.00016196659087693613,20,0.00014045194257050753,0
ort,1,1,5,20,10,0.00016382988542318344,0.00020306603983044624,0.00016433210112154484,0.00016866903752088547,0.0001682480564340949,0.00016382988542318344,0.0001876595865341506,20,0.0001650134800001979,0
npy,1,1,5,20,10,0.0001220491249114275,0.0001357740256935358,0.00012220721691846848,0.00012767198495566845,0.00012410999042913317,0.0001220491249114275,0.00013102354318316554,20,0.00012277299538254738,0
ort,10,1,5,20,10,0.0001648420002311468,0.00018603098578751087,0.00016506901010870934,0.00016621313989162445,0.00016661761328577994,0.0001648420002311468,0.00017539033324458545,20,0.00016562058590352535,0
npy,10,1,5,20,10,7.331790402531624e-05,9.042187593877316e-05,7.367809303104877e-05,7.921108044683933e-05,7.583786500617862e-05,7.331790402531624e-05,8.426645358489795e-05,20,7.411744445562363e-05,0
ort,100,1,5,20,10,0.00016204803250730038,0.00020028790459036827,0.00016271299682557583,0.00016407296061515808,0.00016610847087576984,0.00016204803250730038,0.00018362401850041614,20,0.00016337097622454166,0
npy,100,1,5,20,10,7.33069609850645e-05,7.981597445905209e-05,7.44471326470375e-05,7.516308687627316e-05,7.499870844185352e-05,7.33069609850645e-05,7.735757378803188e-05,20,7.481197826564312e-05,0
