lib,method,N,dim,fixed_dim,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
skl,skl_proba,1,10,10,25,20,0.001917160116136074,0.0019842362962663174,0.001919739879667759,0.001946883276104927,0.0019315581023693084,0.001917160116136074,0.0019620008980406234,25,0.001924246083945036,0
ort,onnx_proba,1,10,10,25,20,0.0006306651048362255,0.00070920679718256,0.0006320406682789326,0.0006609288975596428,0.0006445475667715073,0.0006306651048362255,0.0006792863918446571,25,0.0006355568766593933,0
ort,ox_cast_input,1,10,10,25,20,0.0007233740761876106,0.0008307606913149357,0.0007253400981426239,0.0007789810188114643,0.0007587419636547565,0.0007233740761876106,0.0008103892240004703,25,0.0007610009051859379,0
ort,ox_mul_result,1,10,10,25,20,0.0007259789854288101,0.0008745361119508743,0.0007271678186953068,0.0007996759377419949,0.0007674971222877503,0.0007259789854288101,0.0008285273127422994,25,0.0007643369026482105,0
ort,ox_add_result,1,10,10,25,20,0.0007172496989369392,0.0007932791486382484,0.0007192990742623806,0.0007521603256464005,0.0007288250327110291,0.0007172496989369392,0.0007619783562359005,25,0.0007215337827801704,0
ort,ox_next_activations,1,10,10,25,20,0.0007179202511906624,0.0007490450516343117,0.0007186359725892544,0.0007428429089486599,0.0007263765297830105,0.0007179202511906624,0.0007479818883463178,25,0.0007202289998531342,0
ort,ox_mul_result1,1,10,10,25,20,0.0007232306525111198,0.0008232691325247288,0.0007238010875880718,0.0007782210595905781,0.000753876194357872,0.0007232306525111198,0.0008029705606314739,25,0.0007542879320681095,0
ort,ox_add_result1,1,10,10,25,20,0.0007196678780019283,0.0007794699631631374,0.0007212306372821331,0.0007464112713932991,0.000729951597750187,0.0007196678780019283,0.0007611479565769302,25,0.0007220478728413582,0
ort,ox_next_activations1,1,10,10,25,20,0.0007167388685047626,0.0008284030482172966,0.0007188897579908371,0.0007477961480617523,0.0007308490201830864,0.0007167388685047626,0.0007762438853420519,25,0.0007202150300145149,0
ort,ox_mul_result2,1,10,10,25,20,0.0007180222310125828,0.0008727898821234703,0.0007229577749967575,0.0008134609088301659,0.0007707346230745316,0.0007180222310125828,0.0008461092736481844,25,0.000765856821089983,0
ort,ox_add_result2,1,10,10,25,20,0.0007554260082542896,0.0008263322524726391,0.0007622619159519672,0.0008156970143318176,0.000784886609762907,0.0007554260082542896,0.0008228746862835853,25,0.0007850471884012222,0
ort,ox_out_activations_result,1,10,10,25,20,0.0007198359817266464,0.0008100490085780621,0.0007401411421597004,0.0007833987474441528,0.0007596221566200256,0.0007211692051034162,0.000798075108136635,25,0.0007579042576253414,0
ort,ox_negative_class_proba,1,10,10,25,20,0.0007234290242195129,0.0007986761629581451,0.0007250141352415085,0.0007713590748608112,0.0007484529539942741,0.0007234290242195129,0.0007865926476807166,25,0.0007447041571140289,0
ort,ox_probabilities,1,10,10,25,20,0.0007199211977422237,0.0007871021516621113,0.0007213838398456573,0.0007564728148281574,0.0007316586002707481,0.0007199211977422237,0.0007639402396585446,25,0.0007234159857034683,0
ort,ox_argmax_output,1,10,10,25,20,0.00071758683770895,0.0007725940085947514,0.0007181898690760136,0.0007508359849452972,0.0007267389260232448,0.00071758683770895,0.0007557439524845284,25,0.0007200031541287899,0
ort,ox_array_feature_extractor_result,1,10,10,25,20,0.0007192334160208702,0.0007496210746467113,0.0007202299311757088,0.0007440736517310143,0.0007276943325996399,0.0007192334160208702,0.0007477065709242109,25,0.0007225084118545055,0
ort,ox_reshaped_result,1,10,10,25,20,0.0007145158015191555,0.0007961876690387726,0.0007161339744925499,0.000742053147405386,0.0007265256345272064,0.0007145158015191555,0.0007601696689444283,25,0.000718497671186924,0
ort,ox_label,1,10,10,25,20,0.0007157018408179283,0.0007548751309514046,0.00071707833558321,0.0007407818920910358,0.0007252359017729759,0.0007157018408179283,0.000747546233181998,25,0.0007181530818343163,0
ort,ox_output_label,1,10,10,25,20,0.0007154927588999271,0.0007487013936042786,0.0007179602980613708,0.0007433327846229076,0.0007258717156946659,0.0007154927588999271,0.0007470729867690297,25,0.0007192408666014671,0
ort,ox_output_probability,1,10,10,25,20,0.0007136128842830658,0.0007723979651927948,0.0007146620191633701,0.0007402468472719193,0.0007231011241674424,0.0007136128842830658,0.0007501859284375222,25,0.0007166508585214615,0
skl,skl_proba,2,10,10,25,20,0.0019857091829180717,0.0021876120008528233,0.0019998233765363693,0.0021789823658764362,0.0020755910873413086,0.0019857091829180717,0.0021876120008528233,25,0.002036654856055975,0
ort,onnx_proba,2,10,10,25,20,0.0006790086627006531,0.017092193011194468,0.0006803842261433601,0.0007097311317920685,0.0013442318513989448,0.0006790086627006531,0.007644762876507439,25,0.0006850832141935825,0
ort,ox_cast_input,2,10,10,25,20,0.0007595927454531193,0.0008366531692445278,0.0007620221003890038,0.0008079670369625092,0.0007790027931332588,0.0007595927454531193,0.0008179778294435456,25,0.0007671569474041462,0
ort,ox_mul_result,2,10,10,25,20,0.000757511705160141,0.0007866648957133293,0.0007589650340378284,0.0007836613804101944,0.0007670135796070099,0.000757511705160141,0.0007866648957133293,25,0.0007600048556923866,0
ort,ox_add_result,2,10,10,25,20,0.0007551717571914196,0.0007838737219572067,0.0007565729320049286,0.0007805889472365379,0.0007629540748894214,0.0007551717571914196,0.0007819686185332649,25,0.000757548026740551,0
ort,ox_next_activations,2,10,10,25,20,0.0007552811875939369,0.000783069059252739,0.0007559251971542835,0.0007792138494551182,0.0007615034654736519,0.0007552811875939369,0.0007790755482568416,25,0.0007574581541121006,0
ort,ox_mul_result1,2,10,10,25,20,0.0007556239143013954,0.0007914220914244652,0.000756062101572752,0.0007797796279191971,0.0007625734619796276,0.0007556239143013954,0.0007827484022395487,25,0.0007571508176624775,0
ort,ox_add_result1,2,10,10,25,20,0.0007539121434092522,0.0007833181880414486,0.0007556569762527943,0.0007818960584700108,0.0007635845430195332,0.0007539121434092522,0.0007833181880414486,25,0.000757735688239336,0
ort,ox_next_activations1,2,10,10,25,20,0.0007538008503615856,0.0007841037586331367,0.0007552360184490681,0.000779476948082447,0.0007612773962318897,0.0007538008503615856,0.000779999023566239,25,0.0007568071596324444,0
ort,ox_mul_result2,2,10,10,25,20,0.0007554329931735992,0.000787349883466959,0.0007558842189610004,0.0007819617167115211,0.0007636737078428269,0.0007554329931735992,0.0007855488987817809,25,0.0007573002949357033,0
ort,ox_add_result2,2,10,10,25,20,0.0007555303163826466,0.0007835421711206436,0.0007562381215393543,0.0007807859219610691,0.0007616715878248215,0.0007555303163826466,0.0007784391761165375,25,0.0007567871361970901,0
ort,ox_out_activations_result,2,10,10,25,20,0.0007573831826448441,0.0008096350356936455,0.0007586670108139515,0.0007855040021240711,0.0007682264968752861,0.0007573831826448441,0.0007949421809994939,25,0.000761623028665781,0
ort,ox_negative_class_proba,2,10,10,25,20,0.0007578795775771141,0.0008110529743134975,0.0007585277780890465,0.0007819058373570442,0.0007646061107516289,0.0007578795775771141,0.0007873215942754778,25,0.0007596877403557301,0
ort,ox_probabilities,2,10,10,25,20,0.0007584961131215096,0.000791104044765234,0.0007589017041027546,0.0007866388186812401,0.0007685049809515476,0.0007584961131215096,0.000791104044765234,25,0.0007608211599290371,0
ort,ox_argmax_output,2,10,10,25,20,0.0007582209073007107,0.000785378273576498,0.0007593058981001377,0.0007838360033929348,0.0007657781057059765,0.0007582209073007107,0.000785378273576498,25,0.0007603629492223263,0
ort,ox_array_feature_extractor_result,2,10,10,25,20,0.0007530767470598221,0.0008036880753934383,0.0007558958604931831,0.0007814979180693626,0.0007658812217414379,0.0007530767470598221,0.0007913404967607011,25,0.0007589827291667461,0
ort,ox_reshaped_result,2,10,10,25,20,0.0007541798986494541,0.0007854560390114784,0.0007552723400294781,0.0007791700772941113,0.0007612291350960732,0.0007541798986494541,0.0007809018384773802,25,0.0007565179839730263,0
ort,ox_label,2,10,10,25,20,0.0007585668936371803,0.000810141209512949,0.0007593482732772827,0.0007812320254743099,0.0007642671838402748,0.0007585668936371803,0.0007860924949026458,25,0.0007604598067700863,0
ort,ox_output_label,2,10,10,25,20,0.0007545300759375095,0.0007833419367671013,0.0007553240284323692,0.0007780841551721096,0.0007612832821905613,0.0007545300759375095,0.0007786958302747694,25,0.0007566693238914013,0
ort,ox_output_probability,2,10,10,25,20,0.0007495307363569736,0.000781024806201458,0.0007515517063438892,0.0007778326980769634,0.0007583917118608952,0.0007495307363569736,0.0007776614980653726,25,0.0007531372830271721,0
skl,skl_proba,5,10,10,25,20,0.0020167678594589233,0.0022326852194964886,0.002020633313804865,0.00206039659678936,0.0020465887151658534,0.0020167678594589233,0.002126310563870307,25,0.002042521256953478,0
