lib,N,dim,nbnode,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
ort,1,1,1,20,2,2.3582950234413147e-05,9.125377982854843e-05,2.3802276700735092e-05,2.6945024728775024e-05,2.7657393366098405e-05,2.3582950234413147e-05,5.632264417558114e-05,20,2.3892847821116447e-05,0
npy,1,1,1,20,2,1.3986136764287949e-05,3.733299672603607e-05,1.4080200344324112e-05,1.6518402844667435e-05,1.6027456149458884e-05,1.3986136764287949e-05,2.6580931336373832e-05,20,1.4198711141943932e-05,0
ort,10,1,1,20,2,2.3647677153348923e-05,6.048893555998802e-05,2.366025000810623e-05,3.7470366805791855e-05,2.7768220752477647e-05,2.3647677153348923e-05,4.62767138284322e-05,20,2.381065860390663e-05,0
npy,10,1,1,20,2,1.2421980500221252e-05,3.981683403253555e-05,1.253373920917511e-05,1.3346783816814423e-05,1.4394358731806279e-05,1.2421980500221252e-05,2.6185971446525633e-05,20,1.2686476111412048e-05,0
ort,100,1,1,20,2,2.5227200239896774e-05,5.471985787153244e-05,2.5346875190734863e-05,2.8380192816257477e-05,2.812983002513647e-05,2.5227200239896774e-05,4.202299455156631e-05,20,2.5528017431497574e-05,0
npy,100,1,1,20,2,1.2528151273727417e-05,1.9931234419345856e-05,1.2641306966543198e-05,1.3679731637239456e-05,1.3345875777304172e-05,1.2528151273727417e-05,1.6587524970659143e-05,20,1.2830598279833794e-05,0
ort,1000,1,1,20,2,4.174700006842613e-05,6.888294592499733e-05,4.225177690386772e-05,4.63840551674366e-05,4.626456648111343e-05,4.174700006842613e-05,5.905654092223734e-05,20,4.504784010350704e-05,0
npy,1000,1,1,20,2,1.9871164113283157e-05,4.266994073987007e-05,2.0105857402086258e-05,3.213668242096901e-05,2.3366417735815048e-05,1.9871164113283157e-05,3.631559732066476e-05,20,2.0393403246998787e-05,0
ort,10000,1,1,20,2,0.00020122481510043144,0.0002772877924144268,0.00020173890516161919,0.0002375408075749874,0.00021715546026825904,0.00020122481510043144,0.00025669084357091935,20,0.0002118358388543129,0
npy,10000,1,1,20,2,6.483495235443115e-05,0.00010513188317418098,6.577512249350548e-05,8.612498641014099e-05,7.065571844577789e-05,6.483495235443115e-05,9.145300936041462e-05,20,6.64200633764267e-05,0
ort,1,1,2,20,2,2.557411789894104e-05,5.523674190044403e-05,2.5801826268434525e-05,2.9085204005241394e-05,2.900648396462202e-05,2.557411789894104e-05,4.593535233078484e-05,20,2.5937100872397423e-05,0
npy,1,1,2,20,2,2.2309832274913788e-05,4.77922149002552e-05,2.260413020849228e-05,2.692313864827156e-05,2.465073484927416e-05,2.2309832274913788e-05,3.571340710782802e-05,20,2.2772233933210373e-05,0
ort,10,1,2,20,2,2.5860965251922607e-05,5.7460274547338486e-05,2.600019797682762e-05,2.7993228286504745e-05,2.8718658722937106e-05,2.5860965251922607e-05,4.3706730333534e-05,20,2.621486783027649e-05,0
npy,10,1,2,20,2,2.008303999900818e-05,3.564078360795975e-05,2.0310282707214355e-05,2.7728267014026642e-05,2.20124376937747e-05,2.008303999900818e-05,2.9718199870388756e-05,20,2.0467909052968025e-05,0
ort,100,1,2,20,2,2.851104363799095e-05,5.728472024202347e-05,2.8579961508512497e-05,3.0442140996456146e-05,3.1039933674037457e-05,2.851104363799095e-05,4.4751397273059975e-05,20,2.8699403628706932e-05,0
npy,100,1,2,20,2,1.993216574192047e-05,2.709822729229927e-05,2.0169652998447418e-05,2.061808481812477e-05,2.0642136223614217e-05,1.993216574192047e-05,2.3566586700005647e-05,20,2.0273728296160698e-05,0
ort,1000,1,2,20,2,5.974108353257179e-05,8.65710899233818e-05,6.103888154029846e-05,7.931888103485107e-05,6.559805478900671e-05,5.974108353257179e-05,8.236298866572399e-05,20,6.135739386081696e-05,0
npy,1000,1,2,20,2,2.9366929084062576e-05,3.7093181163072586e-05,2.9458198696374893e-05,3.0355993658304214e-05,3.018174320459366e-05,2.9366929084062576e-05,3.335184828737932e-05,20,2.9796967282891273e-05,0
ort,10000,1,2,20,2,0.00036289216950535774,0.00040037883445620537,0.0003734920173883438,0.0003792061470448971,0.000377121614292264,0.00036289216950535774,0.0003934582602895704,20,0.0003749795723706484,0
npy,10000,1,2,20,2,9.509408846497536e-05,0.00011436315253376961,9.559514001011848e-05,0.00010304292663931847,9.782235138118267e-05,9.509408846497536e-05,0.00010702484371696951,20,9.61825717240572e-05,0
ort,1,1,3,20,2,2.5422777980566025e-05,5.3478870540857315e-05,2.554524689912796e-05,2.6760157197713852e-05,2.7252850122749807e-05,2.5422777980566025e-05,3.91130442272133e-05,20,2.5730114430189133e-05,0
npy,1,1,3,20,2,2.9662158340215683e-05,3.7482939660549164e-05,2.9821880161762238e-05,3.0383002012968063e-05,3.0466914176940917e-05,2.9662158340215683e-05,3.3672257282038365e-05,20,3.0064955353736877e-05,0
ort,10,1,3,20,2,2.5978311896324158e-05,4.338333383202553e-05,2.6077963411808014e-05,3.4520868211984634e-05,2.8359377756714822e-05,2.5978311896324158e-05,3.865917312728801e-05,20,2.6196474209427834e-05,0
npy,10,1,3,20,2,2.6704277843236923e-05,3.3567193895578384e-05,2.696830779314041e-05,2.7548987418413162e-05,2.744814846664667e-05,2.6704277843236923e-05,3.0245929378779216e-05,20,2.706749364733696e-05,0
ort,100,1,3,20,2,3.0771829187870026e-05,4.6208035200834274e-05,3.092782571911812e-05,3.1460076570510864e-05,3.190089482814073e-05,3.0771829187870026e-05,3.835818298670111e-05,20,3.1142495572566986e-05,0
npy,100,1,3,20,2,2.7330126613378525e-05,3.452738747000694e-05,2.7397647500038147e-05,2.79243104159832e-05,2.7961703017354013e-05,2.7330126613378525e-05,3.093615111836325e-05,20,2.7621397748589516e-05,0
