method,lib,skl_nb_base_estimators,skl_dt_nodes,N,dim,max_depth,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,skl,1.0,9.0,1,1,3,10,1,5.332706496119499e-05,0.00023379200138151646,5.4928008466959e-05,6.237695924937725e-05,7.55747314542532e-05,5.332706496119499e-05,0.0001793904791057513,10,5.7055032812058926e-05,0,,,
predict,onxpython,,,1,1,3,10,1,0.0014553270302712917,0.015520536107942462,0.0029299049638211727,0.013125685974955559,0.006915807048790157,0.0014553270302712917,0.015520536107942462,10,0.002958564553409815,0,3.0,11.0,1078.0
predict,onxonnxruntime1,,,1,1,3,10,1,2.7108006179332733e-05,0.00013215187937021255,2.7534086257219315e-05,2.974690869450569e-05,3.905412741005421e-05,2.7108006179332733e-05,0.00010003768090058231,10,2.7956091798841953e-05,0,3.0,11.0,1078.0
predict_proba,skl,1.0,9.0,1,1,3,10,1,7.112091407179832e-05,0.00014921091496944427,7.496890611946583e-05,8.162413723766804e-05,8.44729132950306e-05,7.112091407179832e-05,0.0001280876255563008,10,7.664598524570465e-05,0,,,
predict_proba,onxpython,,,1,1,3,10,1,0.0015327201690524817,0.014646794879809022,0.002872619079425931,0.0054164298344403505,0.004890942899510265,0.0015327201690524817,0.012749025844296151,10,0.0029180989367887378,0,3.0,11.0,1078.0
predict_proba,onxonnxruntime1,,,1,1,3,10,1,3.174995072185993e-05,8.970405906438828e-05,3.217579796910286e-05,3.395183011889458e-05,3.86514700949192e-05,3.174995072185993e-05,7.214290755678277e-05,10,3.24564753100276e-05,0,3.0,11.0,1078.0
predict,skl,1.0,9.0,10,1,3,10,1,5.469215102493763e-05,0.00015473505482077599,5.631311796605587e-05,6.233900785446167e-05,6.869772914797068e-05,5.469215102493763e-05,0.00012589025927869438,10,5.735002923756838e-05,0,,,
predict,onxpython,,,10,1,3,10,1,0.0014396430924534798,0.014206763124093413,0.002881719032302499,0.011995305074378848,0.006431667623110116,0.0014396430924534798,0.014206763124093413,10,0.002923552063293755,0,3.0,11.0,1078.0
predict,onxonnxruntime1,,,10,1,3,10,1,3.10470350086689e-05,9.63839702308178e-05,3.1458912417292595e-05,3.260117955505848e-05,3.8651865907013416e-05,3.10470350086689e-05,7.652558893347285e-05,10,3.17074591293931e-05,0,3.0,11.0,1078.0
predict_proba,skl,1.0,9.0,10,1,3,10,1,7.886788807809353e-05,0.0001474618911743164,8.221389725804329e-05,9.856792166829109e-05,9.56629402935505e-05,7.886788807809353e-05,0.00013518325147818274,10,9.017251431941986e-05,0,,,
predict_proba,onxpython,,,10,1,3,10,1,0.0015677069313824177,0.010647091083228588,0.0028022329788655043,0.005336579866707325,0.004407712165266276,0.0015677069313824177,0.010647091083228588,10,0.0029083393746986985,0,3.0,11.0,1078.0
predict_proba,onxonnxruntime1,,,10,1,3,10,1,3.88661865144968e-05,0.00010181986726820469,3.950693644583225e-05,4.484690725803375e-05,4.740848671644926e-05,3.88661865144968e-05,8.359726312103441e-05,10,3.966095391660929e-05,0,3.0,11.0,1078.0
predict,skl,1.0,9.0,100,1,3,10,1,5.701091140508652e-05,0.0001373558770865202,5.937810055911541e-05,6.470200605690479e-05,6.903668399900198e-05,5.701091140508652e-05,0.00011433682672815708,10,6.066146306693554e-05,0,,,
predict,onxpython,,,100,1,3,10,1,0.001544096041470766,0.013105761026963592,0.002921588020399213,0.012306397082284093,0.006427599978633225,0.001544096041470766,0.013105761026963592,10,0.0029268654761835933,0,3.0,11.0,1078.0
