method,lib,skl_nb_base_estimators,skl_dt_nodes,N,dim,max_depth,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,skl,1.0,15.0,1,1,3,10,1,4.606693983078003e-05,0.00019479915499687195,4.7947047278285027e-05,5.308212712407112e-05,6.463311146944761e-05,4.606693983078003e-05,0.0001500187657970983,10,4.960957448929548e-05,0,,,
predict,onxpython,,,1,1,3,10,1,1.6523990780115128e-05,0.00015497999265789986,1.6821781173348427e-05,1.870398409664631e-05,3.1613674946129325e-05,1.6523990780115128e-05,0.0001123120913704314,10,1.693714875727892e-05,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,1,1,3,10,1,2.248515374958515e-05,8.464907296001911e-05,2.2952910512685776e-05,2.4928012862801552e-05,2.9946723952889442e-05,2.248515374958515e-05,6.586844622583517e-05,10,2.3242086172103882e-05,0,1.0,11.0,1089.0
predict,skl,1.0,15.0,10,1,3,10,1,4.6797096729278564e-05,6.297300569713116e-05,4.850211553275585e-05,5.129515193402767e-05,5.067421589046717e-05,4.6797096729278564e-05,5.981237436345662e-05,10,4.871643614023924e-05,0,,,
predict,onxpython,,,10,1,3,10,1,1.638219691812992e-05,6.407895125448704e-05,1.6666948795318604e-05,1.749396324157715e-05,2.1819351240992545e-05,1.638219691812992e-05,4.949405587958579e-05,10,1.6742153093218803e-05,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,10,1,3,10,1,2.453988417983055e-05,3.892509266734123e-05,2.4821143597364426e-05,2.552592195570469e-05,2.665200736373663e-05,2.453988417983055e-05,3.49999936430467e-05,10,2.4850014597177505e-05,0,1.0,11.0,1089.0
predict,skl,1.0,15.0,100,1,3,10,1,4.9269990995526314e-05,7.191509939730167e-05,5.119410343468189e-05,5.371309816837311e-05,5.403573159128428e-05,4.9269990995526314e-05,6.672903031218071e-05,10,5.140993744134903e-05,0,,,
predict,onxpython,,,100,1,3,10,1,1.7798971384763718e-05,6.565987132489681e-05,1.8184073269367218e-05,1.9307946786284447e-05,2.3500272072851657e-05,1.7798971384763718e-05,5.118347524790081e-05,10,1.8328893929719925e-05,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,100,1,3,10,1,4.219706170260906e-05,5.6518008932471275e-05,4.264991730451584e-05,4.4269952923059464e-05,4.459647461771965e-05,4.219706170260906e-05,5.2828133673633695e-05,10,4.2710453271865845e-05,0,1.0,11.0,1089.0
predict,skl,1.0,15.0,1000,1,3,10,1,7.579592056572437e-05,0.00010390696115791798,7.753889076411724e-05,7.814192213118076e-05,8.133747614920139e-05,7.579592056572437e-05,9.801549245546797e-05,10,7.77094392105937e-05,0,,,
predict,onxpython,,,1000,1,3,10,1,3.2020965591073036e-05,7.793097756803036e-05,3.24728898704052e-05,3.342190757393837e-05,3.752706106752157e-05,3.2020965591073036e-05,6.403841834105413e-05,10,3.261398524045944e-05,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,1000,1,3,10,1,0.0002108979970216751,0.00024110404774546623,0.00021157902665436268,0.00022457120940089226,0.00022114412859082223,0.0002108979970216751,0.00023955651114943702,10,0.00022440904285758734,0,1.0,11.0,1089.0
predict,skl,1.0,1497.0,1,1,10,10,1,4.6141911298036575e-05,9.166891686618328e-05,4.75060660392046e-05,5.390401929616928e-05,5.3329090587794783e-05,4.6141911298036575e-05,7.899363104645391e-05,10,4.778348375111818e-05,0,,,
predict,onxpython,,,1,1,10,10,1,1.6585923731327057e-05,7.343688048422337e-05,1.687905751168728e-05,1.789187081158161e-05,2.3124553263187408e-05,1.6585923731327057e-05,5.609122949596145e-05,10,1.7124461010098457e-05,0,1.0,11.0,58622.0
predict,onxonnxruntime1,,,1,1,10,10,1,2.325884997844696e-05,5.956296809017658e-05,2.3732194676995277e-05,2.4667009711265564e-05,2.7798605151474477e-05,2.325884997844696e-05,4.8679889849451726e-05,10,2.396490890532732e-05,0,1.0,11.0,58622.0
predict,skl,1.0,1497.0,10,1,10,10,1,4.743202589452267e-05,6.391387432813644e-05,4.829908721148968e-05,5.21631445735693e-05,5.108604673296213e-05,4.743202589452267e-05,6.062329206033606e-05,10,4.856556188315153e-05,0,,,
predict,onxpython,,,10,1,10,10,1,1.718592830002308e-05,6.268499419093132e-05,1.7413869500160217e-05,1.8126098439097404e-05,2.234252169728279e-05,1.718592830002308e-05,4.8771793240615064e-05,10,1.746660564094782e-05,0,1.0,11.0,58622.0
predict,onxonnxruntime1,,,10,1,10,10,1,2.6587164029479027e-05,4.048692062497139e-05,2.675713039934635e-05,2.81620305031538e-05,2.868729643523693e-05,2.6587164029479027e-05,3.672176050040229e-05,10,2.684642095118761e-05,0,1.0,11.0,58622.0
predict,skl,1.0,1497.0,100,1,10,10,1,5.681207403540611e-05,7.117888890206814e-05,5.8017903938889503e-05,6.10200222581625e-05,6.017342675477266e-05,5.681207403540611e-05,6.842788332176855e-05,10,5.8426521718502045e-05,0,,,
predict,onxpython,,,100,1,10,10,1,2.0859064534306526e-05,6.745406426489353e-05,2.1330779418349266e-05,2.246210351586342e-05,2.656076103448868e-05,2.0859064534306526e-05,5.3359260786049414e-05,10,2.19239154830575e-05,0,1.0,11.0,58622.0
predict,onxonnxruntime1,,,100,1,10,10,1,5.121994763612747e-05,6.551179103553295e-05,5.1830895245075226e-05,5.356897599995136e-05,5.383514799177647e-05,5.121994763612747e-05,6.198413912168769e-05,10,5.205743946135044e-05,0,1.0,11.0,58622.0
predict,skl,1.0,1497.0,1000,1,10,10,1,0.00011825119145214558,0.00014092819765210152,0.00012082397006452084,0.00012739608064293861,0.0001246050465852022,0.00011825119145214558,0.00013728125089761665,10,0.00012200698256492615,0,,,
predict,onxpython,,,1000,1,10,10,1,4.7835055738687515e-05,0.00010421406477689743,4.854705184698105e-05,5.12849073857069e-05,5.5043003521859644e-05,4.7835055738687515e-05,8.738463363222395e-05,10,4.900491330772638e-05,0,1.0,11.0,58622.0
predict,onxonnxruntime1,,,1000,1,10,10,1,0.0002631549723446369,0.00029640085995197296,0.00026460899971425533,0.0002816380001604557,0.00027409340254962443,0.0002631549723446369,0.0002947212321897036,10,0.0002731585409492254,0,1.0,11.0,58622.0
predict,skl,1.0,26285.0,1,1,20,10,1,4.626903682947159e-05,0.00012128613889217377,4.829908721148968e-05,5.2756164222955704e-05,5.6858547031879426e-05,4.626903682947159e-05,9.933307491334311e-05,10,4.900805652141571e-05,0,,,
predict,onxpython,,,1,1,20,10,1,1.764018088579178e-05,8.40858556330204e-05,1.8432969227433205e-05,1.994892954826355e-05,2.564811147749424e-05,1.764018088579178e-05,6.394025622255684e-05,10,1.8795020878314972e-05,0,1.0,11.0,1050125.0
predict,onxonnxruntime1,,,1,1,20,10,1,2.400903031229973e-05,6.98950607329607e-05,2.4731038138270378e-05,2.5925925001502037e-05,2.9748189263045788e-05,2.400903031229973e-05,5.612199114261734e-05,10,2.496945671737194e-05,0,1.0,11.0,1050125.0
predict,skl,1.0,26285.0,10,1,20,10,1,5.063903518021107e-05,6.926385685801506e-05,5.2374089136719704e-05,5.840882658958435e-05,5.5655394680798055e-05,5.063903518021107e-05,6.65958489909227e-05,10,5.296512972563505e-05,0,,,
predict,onxpython,,,10,1,20,10,1,2.0230887457728386e-05,6.819888949394226e-05,2.0697014406323433e-05,2.2639986127614975e-05,2.6198476552963258e-05,2.0230887457728386e-05,5.3764428397089364e-05,10,2.129608765244484e-05,0,1.0,11.0,1050125.0
