method,lib,skl_nb_base_estimators,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,skl,2.0,1,1,2,1,,10,1,0.00022115558385849,0.0003848224878311157,0.00022223405539989471,0.00023389142006635666,0.00024268981069326402,0.00022115558385849,0.0003370093719925206,10,0.00022300565615296364,0,,,
predict,onxpython_compiled,,1,1,2,1,,10,1,2.1702609956264496e-05,0.00021142419427633286,2.2465363144874573e-05,2.4450942873954773e-05,4.261219874024391e-05,2.1702609956264496e-05,0.00015305552321724143,10,2.3060478270053864e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,1,1,2,1,,10,1,4.6283937990665436e-05,0.0001302175223827362,4.7001056373119354e-05,5.025416612625122e-05,5.691815167665482e-05,4.6283937990665436e-05,0.0001053470701034938,10,4.7483015805482864e-05,0,1.0,12.0,26377.0
predict,skl,2.0,10,1,2,1,,10,1,0.00022019818425178528,0.0002690153196454048,0.00022488366812467575,0.0002430276945233345,0.00023448746651411057,0.00022019818425178528,0.000267252776006795,10,0.00022555142641067505,0,,,
predict,onxpython_compiled,,10,1,2,1,,10,1,4.2302533984184265e-05,6.290432065725327e-05,4.3342821300029755e-05,4.5911408960819244e-05,4.6244822442531586e-05,4.2302533984184265e-05,5.7880622742214805e-05,10,4.3554697185754776e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,10,1,2,1,,10,1,7.716845721006393e-05,0.00010931026190519333,7.804576307535172e-05,8.30749049782753e-05,8.290922269225121e-05,7.716845721006393e-05,0.00010127615330575306,10,7.857661694288254e-05,0,1.0,12.0,26377.0
predict,skl,2.0,100,1,2,1,,10,1,0.0003391662612557411,0.00041236449033021927,0.0003467388451099396,0.0003553275018930435,0.00035603465512394904,0.0003391662612557411,0.00039570770119486793,10,0.0003480217419564724,0,,,
predict,onxpython_compiled,,100,1,2,1,,10,1,6.585288792848587e-05,0.0001525646075606346,6.731878966093063e-05,7.012300193309784e-05,7.673818618059158e-05,6.585288792848587e-05,0.00012647316209620806,10,6.786501035094261e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,100,1,2,1,,10,1,0.0002687070518732071,0.00031650345772504807,0.0002707764506340027,0.0002986537292599678,0.0002859968692064285,0.0002687070518732071,0.00031650345772504807,10,0.0002833046019077301,0,1.0,12.0,26377.0
predict,skl,2.0,1000,1,2,1,,10,1,0.0015376266092061996,0.0017961980774998665,0.0016111955046653748,0.0016365107148885727,0.0016305219382047654,0.0015376266092061996,0.0017547987774795596,10,0.0016253930516541004,0,,,
