N,count,dim,lib,lower,max,max3,mean,median,min,min3,nbnode,number,repeat,upper
1,20,1,ort,0.00019423896446824074,0.0004293043166399002,0.00021562399342656136,0.00022747116163372992,0.00021029170602560043,0.00019423896446824074,0.00020396709442138672,1,10,20,0.0003445615166839096
1,20,1,npy,4.50662337243557e-05,6.675394251942635e-05,5.6298915296792984e-05,4.9877027049660685e-05,4.8735179007053375e-05,4.50662337243557e-05,4.662899300456047e-05,1,10,20,6.031336111722611e-05
100,20,1,ort,0.00019980501383543015,0.0003911200910806656,0.0002227751538157463,0.0002209224971011281,0.00021136226132512093,0.00019980501383543015,0.00020570680499076843,1,10,20,0.0002988771881900957
100,20,1,npy,2.8825830668210983e-05,5.5131036788225174e-05,3.825966268777847e-05,3.2224413007497785e-05,2.9963208362460136e-05,2.8825830668210983e-05,2.937205135822296e-05,1,10,20,4.43636439991314e-05
1000,20,1,ort,0.00021870620548725128,0.0003887200728058815,0.00024378113448619843,0.0002371111186221242,0.00022811233066022396,0.00021870620548725128,0.0002230219542980194,1,10,20,0.00030710766968078146
1000,20,1,npy,3.612600266933441e-05,5.968613550066948e-05,4.6877190470695496e-05,4.069721326231957e-05,3.7755584344267845e-05,3.612600266933441e-05,3.6736950278282166e-05,1,10,20,5.234245989551223e-05
10000,20,1,ort,0.00031060120090842247,0.0005032378248870373,0.00033380696550011635,0.00033080268185585736,0.0003203274682164192,0.00031060120090842247,0.0003147018142044544,1,10,20,0.0004101629512586961
10000,20,1,npy,8.688308298587799e-05,0.0001259990967810154,0.00010599615052342415,9.489546064287425e-05,9.121629409492016e-05,8.688308298587799e-05,8.900510147213936e-05,1,10,20,0.00011351317648884911
1,20,1,ort,0.00021750526502728462,0.00038968492299318314,0.0002397969365119934,0.0002350583905354142,0.0002262068446725607,0.00021750526502728462,0.00022146431729197502,2,10,20,0.0003056204792047967
1,20,1,npy,6.57220371067524e-05,9.676767513155937e-05,8.267117664217949e-05,7.306775078177452e-05,7.131625898182392e-05,6.57220371067524e-05,6.680004298686981e-05,2,10,20,8.735300113754518e-05
100,20,1,ort,0.00021436531096696854,0.0004094662144780159,0.00024197204038500786,0.0002364165848121047,0.00022949534468352795,0.00021436531096696854,0.00021651294082403183,2,10,20,0.00031616608803464207
100,20,1,npy,3.943825140595436e-05,5.320413038134575e-05,4.557706415653229e-05,4.3821311555802823e-05,4.3503474444150925e-05,3.943825140595436e-05,4.1099730879068375e-05,2,10,20,5.002486701865786e-05
1000,20,1,ort,0.000241186935454607,0.0004193112254142761,0.0002608019858598709,0.00025854266714304687,0.0002489178441464901,0.000241186935454607,0.0002445913851261139,2,10,20,0.0003317188293144873
1000,20,1,npy,5.1418785005807877e-05,7.45309516787529e-05,6.515998393297195e-05,5.6791282258927825e-05,5.402951501309872e-05,5.1418785005807877e-05,5.239015445113182e-05,2,10,20,6.860687818902913e-05
10000,20,1,ort,0.0003599701449275017,0.0006300928071141243,0.00039301393553614616,0.0003896359819918871,0.00037704664282500744,0.0003599701449275017,0.0003662416711449623,2,10,20,0.0004999168064259492
10000,20,1,npy,0.00012414110824465752,0.000158785842359066,0.00014353403821587563,0.00013408251106739044,0.00013214279897511005,0.00012414110824465752,0.000127413310110569,2,10,20,0.0001500158334376093
