method,lib,skl_nb_base_estimators,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,skl,2.0,1,1,2,1,,10,1,0.0018995641730725765,0.31951308995485306,0.0019101970829069614,0.0019844770431518555,0.03487965948879719,0.0018995641730725765,0.22097268486746802,10,0.0019130725413560867,0,,,,
predict,onxpython_compiled,,1,1,2,1,,10,1,0.0027573159895837307,0.013094145338982344,0.002985109109431505,0.010519558098167181,0.006449739262461662,0.0027573159895837307,0.013094145338982344,10,0.004695689072832465,0,1.0,12.0,26231.0,
predict,onxonnxruntime1,,1,1,2,1,,10,1,2.5540124624967575e-05,0.00011149514466524124,2.5783199816942215e-05,2.7837231755256653e-05,3.549582324922085e-05,2.5540124624967575e-05,8.531366534422964e-05,10,2.6406953111290932e-05,0,1.0,12.0,26231.0,
predict,skl,2.0,10,1,2,1,,10,1,0.0016626627184450626,0.0619385652244091,0.0016819816082715988,0.004222344607114792,0.008650136645883322,0.0016626627184450626,0.04365994728939835,10,0.001702996902167797,0,,,,
predict,onxpython_compiled,,10,1,2,1,,10,1,2.1570362150669098e-05,5.1773618906736374e-05,2.2292137145996094e-05,2.2913794964551926e-05,2.5552790611982344e-05,2.1570362150669098e-05,4.280558957765263e-05,10,2.2521940991282463e-05,0,1.0,12.0,26231.0,
predict,onxonnxruntime1,,10,1,2,1,,10,1,3.969995304942131e-05,9.49520617723465e-05,4.050973802804947e-05,4.617217928171158e-05,4.7143688425421716e-05,3.969995304942131e-05,7.871499846150192e-05,10,4.101661033928394e-05,0,1.0,12.0,26231.0,
predict,skl,2.0,100,1,2,1,,10,1,0.0017105182632803917,0.0017530787736177444,0.0017238156870007515,0.0017446819692850113,0.001730071846395731,0.0017105182632803917,0.0017530787736177444,10,0.0017257633153349161,0,,,,
predict,onxpython_compiled,,100,1,2,1,,10,1,4.082405939698219e-05,7.33998604118824e-05,4.110904410481453e-05,4.308018833398819e-05,4.5236805453896524e-05,4.082405939698219e-05,6.394048371719628e-05,10,4.124618135392666e-05,0,1.0,12.0,26231.0,
predict,onxonnxruntime1,,100,1,2,1,,10,1,0.00016800733283162117,0.00019611092284321785,0.0001693088561296463,0.00017286371439695358,0.00017286059446632862,0.00016800733283162117,0.00018862699916501245,10,0.00016949139535427094,0,1.0,12.0,26231.0,
predict,skl,2.0,1000,1,2,1,,10,1,0.0022434061393141747,0.002287651412189007,0.0022542113438248634,0.002276098821312189,0.0022633327171206474,0.0022434061393141747,0.002287651412189007,10,0.0022597729694098234,0,,,,
predict,onxpython_compiled,,1000,1,2,1,,10,1,0.00029322411864995956,0.000320295337587595,0.0002983459271490574,0.0003005019389092922,0.00030059851706027986,0.00029322411864995956,0.00031443940047216315,10,0.0002993547823280096,0,1.0,12.0,26231.0,
predict,onxonnxruntime1,,1000,1,2,1,,10,1,0.0014662058092653751,0.0015032063238322735,0.0014703837223351002,0.0014751669950783253,0.0014752828516066074,0.0014662058092653751,0.001494575893542525,10,0.001472635893151164,0,1.0,12.0,26231.0,
predict,skl,2.0,10000,1,2,1,,10,1,0.006941801402717829,0.025322594214230776,0.006988951005041599,0.018984401132911444,0.013612152775749564,0.006941801402717829,0.025322594214230776,10,0.012990176444873214,0,,,,
predict,onxpython_compiled,,10000,1,2,1,,10,1,0.006982161197811365,0.017835437320172787,0.00840418180450797,0.017215559724718332,0.011297301016747951,0.006982161197811365,0.017835437320172787,10,0.008515806403011084,0,1.0,12.0,26231.0,
predict,onxonnxruntime1,,10000,1,2,1,,10,1,0.013607701286673546,0.026443778071552515,0.013660513795912266,0.014143628068268299,0.015478432690724731,0.013607701286673546,0.023180700182122545,10,0.01367295696400106,0,1.0,12.0,26231.0,
predict,skl,2.0,1,1,2,10,,10,1,0.0019296756945550442,0.1499134232290089,0.0019432264380156994,0.0019816928543150425,0.01794961071573198,0.0019296756945550442,0.104452689757023,10,0.0019496758468449116,0,,,,
predict,onxpython_compiled,,1,1,2,10,,10,1,0.004325579851865768,0.0128238620236516,0.005767728202044964,0.011051506735384464,0.00795427211560309,0.004325579851865768,0.0128238620236516,10,0.007768855895847082,0,1.0,12.0,26012.0,
predict,onxonnxruntime1,,1,1,2,10,,10,1,2.632010728120804e-05,8.812686428427696e-05,2.6656780391931534e-05,2.8342008590698242e-05,3.354516811668873e-05,2.632010728120804e-05,6.936752403188072e-05,10,2.6739900931715965e-05,0,1.0,12.0,26012.0,
predict,skl,2.0,10,1,2,10,,10,1,0.0016547511331737041,0.6335292300209403,0.0016897660680115223,0.001756336074322462,0.11515261000022292,0.0016547511331737041,0.5634892410844112,10,0.0016922317445278168,0,,,,
predict,onxpython_compiled,,10,1,2,10,,10,1,2.21962109208107e-05,5.442183464765549e-05,2.3004133254289627e-05,2.4709850549697876e-05,2.681482583284378e-05,2.21962109208107e-05,4.4973374128358154e-05,10,2.3800646886229515e-05,0,1.0,12.0,26012.0,
predict,onxonnxruntime1,,10,1,2,10,,10,1,4.050694406032562e-05,9.881611913442612e-05,4.173489287495613e-05,4.3155159801244736e-05,4.796814173460007e-05,4.050694406032562e-05,8.133411687911938e-05,10,4.191347397863865e-05,0,1.0,12.0,26012.0,
predict,skl,2.0,100,1,2,10,,10,1,0.0017114048823714256,0.11379484180361032,0.0017284350469708443,0.0018032500520348549,0.023752334620803596,0.0017114048823714256,0.11003764025423757,10,0.0017418009229004383,0,,,,
predict,onxpython_compiled,,100,1,2,10,,10,1,0.002949363086372614,0.018598394002765417,0.005671126302331686,0.009848437737673521,0.00782251446507871,0.002949363086372614,0.01643254273534234,10,0.005742272827774286,0,1.0,12.0,26012.0,
predict,onxonnxruntime1,,100,1,2,10,,10,1,0.00017683720216155052,0.00024098670110106468,0.00017914781346917152,0.00017969263717532158,0.0001856857445091009,0.00017683720216155052,0.00022205965554137382,10,0.0001793776173144579,0,1.0,12.0,26012.0,
predict,skl,2.0,1000,1,2,10,,10,1,0.002219583373516798,0.014262030366808176,0.002243396360427141,0.0022594770416617393,0.003450265247374773,0.002219583373516798,0.010514044498089566,10,0.002249252749606967,0,,,,
predict,onxpython_compiled,,1000,1,2,10,,10,1,0.0048765139654278755,0.01635138876736164,0.00718029635027051,0.012214423157274723,0.009666212135925889,0.0048765139654278755,0.01628638863906292,10,0.009403672069311142,0,1.0,12.0,26012.0,
predict,onxonnxruntime1,,1000,1,2,10,,10,1,0.0015458296984434128,0.001738792285323143,0.0015534530393779278,0.0015550348907709122,0.0015720818657428027,0.0015458296984434128,0.001681222945236948,10,0.0015541792381554842,0,1.0,12.0,26012.0,
predict,skl,2.0,10000,1,2,10,,10,1,0.006924991030246019,0.12335330806672573,0.0069695827551186085,0.010413688141852617,0.019607179751619696,0.006924991030246019,0.08750955699196183,10,0.006999805569648743,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(3  'predict')'.
