method,lib,skl_nb_base_estimators,N,dim,leaf_size,metric,n_neighbors,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,skl,1.0,1,5,10,euclidean,1,,10,1,0.0004768790677189827,0.0014332816936075687,0.0005097142420709133,0.0005261348560452461,0.0006046236027032137,0.0004768790677189827,0.001146836409088911,10,0.0005161345470696688,0,,,,
predict,onxpython_compiled,,1,5,10,euclidean,1,,10,1,3.172204942908138,3.2474780092015862,3.1767969839274883,3.188292721286416,3.1891994155943393,3.172204942908138,3.234196999144101,10,3.1796699359547347,0,22.0,12.0,2102236.0,
predict,onxonnxruntime1,,1,5,10,euclidean,1,,10,1,0.3256542538292706,0.3316487898118794,0.3272156910970807,0.32901722425594926,0.32811434851028026,0.3256542538292706,0.33144974789918424,10,0.32853262801654637,0,22.0,12.0,2102236.0,
predict_proba,skl,1.0,1,5,10,euclidean,1,,10,1,0.0003989790566265583,0.0006988998502492905,0.0004279087297618389,0.0004616081714630127,0.00046356418170034885,0.0003989790566265583,0.0006241735714115343,10,0.00043966900557279587,0,,,,
predict_proba,onxpython_compiled,,1,5,10,euclidean,1,,10,1,3.1808381560258567,3.214755922090262,3.1835183799266815,3.189068294595927,3.189237086288631,3.1808381560258567,3.208781371702407,10,3.1853645408991724,0,22.0,12.0,2102236.0,
predict_proba,onxonnxruntime1,,1,5,10,euclidean,1,,10,1,0.3291397029533982,0.3314394489862025,0.329471284057945,0.3310012868605554,0.33017490268684924,0.3291397029533982,0.3314394489862025,10,0.33014945196919143,0,22.0,12.0,2102236.0,
predict,skl,1.0,10,5,10,euclidean,1,,10,1,0.001020610798150301,0.0014788610860705376,0.001158272847533226,0.0012938161380589008,0.0012178387492895125,0.001020610798150301,0.0014636267647439103,10,0.001195788150653243,0,,,,
predict,onxpython_compiled,,10,5,10,euclidean,1,,10,1,3.3066065767779946,3.3171409759670496,3.3089616070501506,3.3152775950729847,3.311962538352236,3.3066065767779946,3.3171409759670496,10,3.3123984644189477,0,22.0,12.0,2102236.0,
predict,onxonnxruntime1,,10,5,10,euclidean,1,,10,1,0.3602624712511897,0.3831303911283612,0.376802627928555,0.37927163718268275,0.3765732793137431,0.3651088503693954,0.3831303911283612,10,0.3776274798437953,0,22.0,12.0,2102236.0,
predict_proba,skl,1.0,10,5,10,euclidean,1,,10,1,0.0006230911239981651,0.0010570748709142208,0.000732282642275095,0.0008443398401141167,0.0008021464571356773,0.0006230911239981651,0.0010219112177210056,10,0.0007904705125838518,0,,,,
predict_proba,onxpython_compiled,,10,5,10,euclidean,1,,10,1,3.3125866688787937,3.332788476254791,3.3196691451594234,3.323466509114951,3.321279620192945,3.3125866688787937,3.332788476254791,10,3.3201677987817675,0,22.0,12.0,2102236.0,
predict_proba,onxonnxruntime1,,10,5,10,euclidean,1,,10,1,0.376433664932847,0.3819127148017287,0.37880654027685523,0.3813948039896786,0.3793429268058389,0.376433664932847,0.3819127148017287,10,0.3789615505374968,0,22.0,12.0,2102236.0,
predict,skl,1.0,100,5,10,euclidean,1,,10,1,0.006352435331791639,0.00840076431632042,0.006490039173513651,0.006824046839028597,0.006769064348191023,0.006352435331791639,0.00789330719060791,10,0.006518011447042227,0,,,,
predict,onxpython_compiled,,100,5,10,euclidean,1,,10,1,3.7717789337038994,3.8081698161549866,3.7934791347943246,3.800431725103408,3.7941191556397826,3.7754308730258344,3.8081698161549866,10,3.795981637900695,0,22.0,12.0,2102236.0,
