method,lib,skl_nb_base_estimators,N,dim,fit_intercept,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,skl,1.0,1,1,True,,100,1,5.0615984946489334e-05,0.00020278198644518852,5.082087591290474e-05,6.329268217086792e-05,5.394245497882366e-05,5.0615984946489334e-05,8.420374316208166e-05,100,5.1320064812898636e-05,0,,,,
predict,onxpython_compiled,,1,1,True,,100,1,3.976188600063324e-05,0.00014220690354704857,3.984011709690094e-05,7.124198600649834e-05,4.2870300821959974e-05,3.976188600063324e-05,6.886933703443804e-05,100,4.0160492062568665e-05,0,4.0,12.0,623.0,
predict,onxonnxruntime1,,1,1,True,,100,1,2.540694549679756e-05,9.811297059059143e-05,2.5493092834949493e-05,2.9585324227809906e-05,2.6691677048802377e-05,2.540694549679756e-05,4.088690001034341e-05,100,2.5731977075338364e-05,0,4.0,12.0,623.0,
predict_proba,skl,1.0,1,1,True,,100,1,7.199589163064957e-05,0.00011775083839893341,7.212301716208458e-05,9.702984243631363e-05,7.418375927954912e-05,7.199589163064957e-05,8.608975759669826e-05,100,7.254350930452347e-05,0,,,,
predict_proba,onxpython_compiled,,1,1,True,,100,1,3.9319973438978195e-05,6.362423300743103e-05,3.947922959923744e-05,4.6995002776384354e-05,4.066526424139738e-05,3.9319973438978195e-05,4.699089094525745e-05,100,3.983755595982075e-05,0,4.0,12.0,623.0,
predict_proba,onxonnxruntime1,,1,1,True,,100,1,2.4328939616680145e-05,4.893774166703224e-05,2.4352222681045532e-05,3.154482692480087e-05,2.5347452610731124e-05,2.4328939616680145e-05,3.115439201410504e-05,100,2.4607405066490173e-05,0,4.0,12.0,623.0,
predict,py,,1,1,True,,100,1,1.0253861546516418e-05,1.876894384622574e-05,1.034000888466835e-05,1.2123025953769684e-05,1.069000456482172e-05,1.0253861546516418e-05,1.2438535662931063e-05,100,1.0534189641475677e-05,0,,,,
predict_proba,py,,1,1,True,,100,1,3.426801413297653e-05,8.077174425125122e-05,3.428105264902115e-05,3.872113302350044e-05,3.5247583873569966e-05,3.426801413297653e-05,4.436812044911713e-05,100,3.4564873203635216e-05,0,,,,
predict,skl,1.0,10,1,True,,100,1,5.0591304898262024e-05,6.865104660391808e-05,5.0700269639492035e-05,5.604000762104988e-05,5.1424326375126836e-05,5.0591304898262024e-05,5.535758658603723e-05,100,5.1014358177781105e-05,0,,,,
predict,onxpython_compiled,,10,1,True,,100,1,4.293210804462433e-05,7.757311686873436e-05,4.3070875108242035e-05,4.943227395415306e-05,4.4129607267677784e-05,4.293210804462433e-05,5.1227918010897825e-05,100,4.344247281551361e-05,0,4.0,12.0,623.0,
