method,lib,skl_nb_base_estimators,N,activation,dim,hidden_layer_sizes,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,skl,1.0,1,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0001165708526968956,0.0001218775287270546,0.00011820625513792038,0.00011956784874200821,0.00011886833235621452,0.0001165708526968956,0.0001218690973792021,10,0.00011860392987728119,0,,,,
predict,onxpython_compiled,,1,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,6.920937448740005e-05,7.411930710077286e-05,6.945710629224777e-05,7.069390267133713e-05,7.055336609482766e-05,6.920937448740005e-05,7.36190781576508e-05,10,7.003173232078552e-05,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,1,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0001156562939286232,0.0001262454316020012,0.00011979974806308746,0.00012030638754367828,0.0001199573278427124,0.0001156562939286232,0.0001262454316020012,10,0.0001198980025947094,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,1,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00012379419058561325,0.00014439504593610764,0.00012609269469976425,0.0001306328922510147,0.000129011832177639,0.00012379419058561325,0.00013998795109638096,10,0.0001272200606763363,0,,,,
predict_proba,onxpython_compiled,,1,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,6.878934800624847e-05,7.345620542764664e-05,6.912276148796082e-05,6.945151835680008e-05,6.97355717420578e-05,6.878934800624847e-05,7.232588888323043e-05,10,6.919726729393005e-05,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,1,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,5.451403558254242e-05,5.9274956583976746e-05,5.4768286645412445e-05,5.552545189857483e-05,5.559558048844338e-05,5.451403558254242e-05,5.8349794476018075e-05,10,5.513988435268402e-05,0,13.0,12.0,2781.0,
predict,skl,1.0,10,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00014019105583429337,0.00018136482685804367,0.0001455480232834816,0.00015360303223133087,0.0001509709283709526,0.00014019105583429337,0.0001732167530375667,10,0.00014756759628653526,0,,,,
predict,onxpython_compiled,,10,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,8.754990994930267e-05,0.005052702501416206,8.923932909965515e-05,9.517278522253036e-05,0.0005876576527953148,8.754990994930267e-05,0.003504830851797062,10,9.052455425262451e-05,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,10,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,5.1530078053474426e-05,0.00574247632175684,5.189143121242523e-05,5.578342825174332e-05,0.0006229390390217304,5.1530078053474426e-05,0.003967714988052968,10,5.232449620962143e-05,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,10,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00015006959438323975,0.00018732715398073196,0.00015336554497480392,0.00016060378402471542,0.0001588912680745125,0.00015006959438323975,0.00017944917311848627,10,0.0001559806987643242,0,,,,
