alpha,fit_prior,method,n_obs,nfeat,time_ort,time_skl
0.0,True,predict,1,1,0.00039051758999999466,4.8612230000006916e-05
0.0,True,predict_proba,1,1,6.996921999999906e-05,0.0001485309999999984
0.0,True,predict,10,1,7.29716800000002e-05,5.97884999999998e-05
0.0,True,predict_proba,10,1,8.492622000000338e-05,0.00015114235999999615
0.0,False,predict,1,1,6.56907100000037e-05,4.813421000000595e-05
0.0,False,predict_proba,1,1,6.8550949999997e-05,0.0001249261300000004
0.0,False,predict,10,1,7.308624000000207e-05,6.0155899999996264e-05
0.0,False,predict_proba,10,1,8.53686799999931e-05,0.00010791479999999965
0.5,True,predict,1,1,5.4933210000003285e-05,4.868729999999211e-05
0.5,True,predict_proba,1,1,7.417266000000034e-05,9.961458000000256e-05
0.5,True,predict,10,1,8.32235099999945e-05,6.478206999999792e-05
0.5,True,predict_proba,10,1,0.00010257359000000577,0.00012186835000000507
0.5,False,predict,1,1,7.813907000000065e-05,8.424275999999509e-05
0.5,False,predict_proba,1,1,6.686403999999868e-05,0.00015290827999999478
0.5,False,predict,10,1,6.609762000000075e-05,7.772031000000012e-05
0.5,False,predict_proba,10,1,7.64916700000029e-05,0.00012851722999999816
1.0,True,predict,1,1,6.666650999999746e-05,4.822901999999907e-05
1.0,True,predict_proba,1,1,6.035739000000539e-05,0.00010224963999999837
1.0,True,predict,10,1,7.212230000000375e-05,4.892038000000376e-05
1.0,True,predict_proba,10,1,8.607585000000028e-05,0.00015738037000000203
1.0,False,predict,1,1,7.508524999999544e-05,7.663389000000187e-05
1.0,False,predict_proba,1,1,7.723833000000013e-05,0.0001192056400000041
1.0,False,predict,10,1,7.974696999999864e-05,5.072976000000118e-05
1.0,False,predict_proba,10,1,8.473658999999856e-05,0.00014338731999999688
0.0,True,predict,1,5,6.60225600000075e-05,4.831197999999759e-05
0.0,True,predict_proba,1,5,6.801761000000184e-05,0.00011965995999999812
0.0,True,predict,10,5,6.499934999999901e-05,6.861416000000453e-05
0.0,True,predict_proba,10,5,8.461017000000126e-05,0.00011967180999999271
0.0,False,predict,1,5,6.88511900000055e-05,6.894206000000124e-05
0.0,False,predict_proba,1,5,6.763045999999662e-05,0.00011092121999999982
0.0,False,predict,10,5,7.465068999999324e-05,5.047295999999868e-05
0.0,False,predict_proba,10,5,8.585066000000197e-05,0.00011604121000000412
0.5,True,predict,1,5,6.61608299999994e-05,7.390401999999518e-05
0.5,True,predict_proba,1,5,7.008772999999912e-05,0.00011754244000000469
0.5,True,predict,10,5,7.211834999999667e-05,6.699440999999418e-05
0.5,True,predict_proba,10,5,8.472079000000576e-05,0.00013958683000000249
0.5,False,predict,1,5,6.34349099999998e-05,7.275833999999648e-05
0.5,False,predict_proba,1,5,6.816774000000691e-05,0.00010998491999999693
0.5,False,predict,10,5,7.383291000000014e-05,7.709612000000198e-05
0.5,False,predict_proba,10,5,8.649065999999372e-05,0.00011098838000000554
1.0,True,predict,1,5,6.665464999999315e-05,5.491741000000161e-05
1.0,True,predict_proba,1,5,6.450156999999734e-05,0.000134917209999994
1.0,True,predict,10,5,6.671786000000069e-05,6.142011000000558e-05
1.0,True,predict_proba,10,5,8.789313000000298e-05,0.00014987420999999833
1.0,False,predict,1,5,6.674156999999958e-05,4.894409000000266e-05
1.0,False,predict_proba,1,5,6.686799000000576e-05,9.778939000000264e-05
1.0,False,predict,10,5,7.19484700000006e-05,5.4933199999993574e-05
1.0,False,predict_proba,10,5,8.740324999999772e-05,0.0001599245600000021
0.0,True,predict,1,10,6.814798999999815e-05,7.064082000000304e-05
