N,alphas,count,dim,fit_priors,lib,lower,max,max3,mean,median,method,min,min3,ort_nodes,ort_size,repeat,skl_nb_nase_estimators,upper
1,0.0,100,1,True,skl,5.411100573837757e-05,0.0002117000985890627,7.26059079170227e-05,5.786816123872995e-05,5.464098649099469e-05,predict,5.411100573837757e-05,5.429796874523163e-05,,,100,1.0,8.95705961840431e-05
1,0.0,100,1,True,ort,3.520003519952297e-05,0.010520546929910779,4.9212947487831116e-05,0.00014173280564136803,3.559497417882085e-05,predict,3.520003519952297e-05,3.528699744492769e-05,13.0,1479.0,100,,0.0021862456683640354
1,0.0,100,1,True,skl,0.0001095690531656146,0.00021673203445971012,0.00014777597971260548,0.0001159835362341255,0.00011098146205767989,predict_proba,0.0001095690531656146,0.00010973599273711443,,,100,1.0,0.00014185707681700356
1,0.0,100,1,True,ort,3.6676996387541294e-05,5.47849340364337e-05,4.7412002459168434e-05,3.85672808624804e-05,3.7048012018203735e-05,predict_proba,3.6676996387541294e-05,3.6729034036397934e-05,13.0,1479.0,100,,4.54494599230076e-05
10,0.0,100,1,True,skl,5.590100772678852e-05,0.0001189929898828268,7.421395275741816e-05,5.874144029803574e-05,5.655799759551883e-05,predict,5.590100772678852e-05,5.616107955574989e-05,,,100,1.0,7.35940774556598e-05
10,0.0,100,1,True,ort,3.811705391854048e-05,6.707094144076109e-05,4.9922033213078976e-05,4.019209765829146e-05,3.8590049371123314e-05,predict,3.811705391854048e-05,3.82040161639452e-05,13.0,1479.0,100,,4.88242484243661e-05
10,0.0,100,1,True,skl,0.00011366303078830242,0.000166384968906641,0.00014697399456053972,0.00011938277282752096,0.0001149569870904088,predict_proba,0.00011366303078830242,0.00011415302287787199,,,100,1.0,0.00013801710521589173
10,0.0,100,1,True,ort,4.428799729794264e-05,7.011392153799534e-05,6.515602581202984e-05,4.7176139196380974e-05,4.5831489842385054e-05,predict_proba,4.428799729794264e-05,4.4446904212236404e-05,13.0,1479.0,100,,5.6117436206364295e-05
1,0.0,100,1,False,skl,5.705293733626604e-05,0.0045529750641435385,7.011904381215572e-05,0.00010335729108192027,5.747948307543993e-05,predict,5.705293733626604e-05,5.719892214983702e-05,,,100,1.0,0.0009799372513296524
1,0.0,100,1,False,ort,3.782403655350208e-05,8.83820466697216e-05,4.449195694178343e-05,3.8848260883241894e-05,3.817799733951688e-05,predict,3.782403655350208e-05,3.798794932663441e-05,13.0,1479.0,100,,4.877009461281049e-05
1,0.0,100,1,False,skl,0.00011590705253183842,0.008611487923189998,0.00016374699771404266,0.0002781510178465396,0.00011673150584101677,predict_proba,0.00011590705253183842,0.00011603499297052622,,,100,1.0,0.002482314460657402
1,0.0,100,1,False,ort,3.9372011087834835e-05,5.667097866535187e-05,4.559906665235758e-05,4.0197448106482626e-05,3.982550697401166e-05,predict_proba,3.9372011087834835e-05,3.943801857531071e-05,13.0,1479.0,100,,4.403035932053113e-05
10,0.0,100,1,False,skl,5.925202276557684e-05,0.007337777991779149,7.000204641371965e-05,0.00013328530942089857,5.987798795104027e-05,predict,5.925202276557684e-05,5.947495810687542e-05,,,100,1.0,0.001552491139176339
10,0.0,100,1,False,ort,3.9582024328410625e-05,6.89459266141057e-05,4.964997060596943e-05,4.155405447818339e-05,4.0371029172092676e-05,predict,3.9582024328410625e-05,3.9741978980600834e-05,13.0,1479.0,100,,4.969514981208546e-05
10,0.0,100,1,False,skl,0.00011748797260224819,0.00016609893646091223,0.00013721908908337355,0.00012047136551700533,0.00011830951552838087,predict_proba,0.00011748797260224819,0.00011754909064620733,,,100,1.0,0.00013306761103592743
10,0.0,100,1,False,ort,4.451209679245949e-05,6.482098251581192e-05,5.5609969422221184e-05,4.663407686166465e-05,4.623999120667577e-05,predict_proba,4.451209679245949e-05,4.481803625822067e-05,13.0,1479.0,100,,5.273608740427584e-05
1,0.0,100,5,True,skl,5.378795322030783e-05,0.00010447599925100803,7.303198799490929e-05,5.659577553160489e-05,5.426252027973533e-05,predict,5.378795322030783e-05,5.389796569943428e-05,,,100,1.0,7.009578802791748e-05
1,0.0,100,5,True,ort,3.584800288081169e-05,8.558400440961123e-05,5.198991857469082e-05,3.788698813878e-05,3.6218028981238604e-05,predict,3.584800288081169e-05,3.593997098505497e-05,13.0,1511.0,100,,5.042563167700943e-05
1,0.0,100,5,True,skl,0.00010866299271583557,0.00015264598187059164,0.00013986194971948862,0.000114166074199602,0.00011206552153453231,predict_proba,0.00010866299271583557,0.00010908907279372215,,,100,1.0,0.00012942068948909566
1,0.0,100,5,True,ort,3.700598608702421e-05,5.6523014791309834e-05,4.682701546698809e-05,3.8701934972777966e-05,3.74740338884294e-05,predict_proba,3.700598608702421e-05,3.712298348546028e-05,13.0,1511.0,100,,4.5411275840082176e-05
10,0.0,100,5,True,skl,5.597004201263189e-05,9.44649800658226e-05,7.028097752481699e-05,5.8122939663007855e-05,5.6449498515576124e-05,predict,5.597004201263189e-05,5.608599167317152e-05,,,100,1.0,6.788258021363312e-05
10,0.0,100,5,True,ort,3.846711479127407e-05,6.386800669133663e-05,4.797196015715599e-05,3.995864884927869e-05,3.884400939568877e-05,predict,3.846711479127407e-05,3.855000250041485e-05,13.0,1511.0,100,,4.6785664926422015e-05
10,0.0,100,5,True,skl,0.00011391693260520697,0.0001458380138501525,0.00014095904771238565,0.00011831960757263004,0.0001149029703810811,predict_proba,0.00011391693260520697,0.00011406594421714544,,,100,1.0,0.0001305494820866066
10,0.0,100,5,True,ort,4.48829960078001e-05,7.087306585162878e-05,5.805899854749441e-05,4.689730471000076e-05,4.544947296380997e-05,predict_proba,4.48829960078001e-05,4.51250234618783e-05,13.0,1511.0,100,,5.520743802054222e-05
1,0.0,100,5,False,skl,5.3717056289315224e-05,0.00010197598021477461,6.67870044708252e-05,5.636342684738338e-05,5.426595453172922e-05,predict,5.3717056289315224e-05,5.3958967328071594e-05,,,100,1.0,6.758893463526694e-05
1,0.0,100,5,False,ort,3.568094689399004e-05,8.415302727371454e-05,4.748697392642498e-05,3.803121275268495e-05,3.620103234425187e-05,predict,3.568094689399004e-05,3.5784090869128704e-05,13.0,1511.0,100,,5.007064181725813e-05
1,0.0,100,5,False,skl,0.00010885996744036674,0.00016997894272208214,0.0001497919438406825,0.00011420038877986371,0.00010979396756738424,predict_proba,0.00010885996744036674,0.00010908592958003283,,,100,1.0,0.00013322781185371596
1,0.0,100,5,False,ort,3.741402179002762e-05,5.389295984059572e-05,4.7050067223608494e-05,3.9168137591332196e-05,3.780756378546357e-05,predict_proba,3.741402179002762e-05,3.749597817659378e-05,13.0,1511.0,100,,4.565343526516086e-05
10,0.0,100,5,False,skl,5.5912998504936695e-05,7.876206655055285e-05,7.305189501494169e-05,5.868458771146834e-05,5.7935016229748726e-05,predict,5.5912998504936695e-05,5.615502595901489e-05,,,100,1.0,6.658929277848074e-05
10,0.0,100,5,False,ort,3.8705067709088326e-05,6.385392043739557e-05,5.6307995691895485e-05,4.035450168885291e-05,3.9045524317771196e-05,predict,3.8705067709088326e-05,3.875908441841602e-05,13.0,1511.0,100,,4.884985815600875e-05
10,0.0,100,5,False,skl,0.00011398200877010822,0.00015000102575868368,0.0001372889382764697,0.0001184183091390878,0.0001148584415204823,predict_proba,0.00011398200877010822,0.0001140359090641141,,,100,1.0,0.0001330375663952164
10,0.0,100,5,False,ort,4.5316992327570915e-05,6.226799450814724e-05,5.6563992984592915e-05,4.683428443968296e-05,4.5784516260027885e-05,predict_proba,4.5316992327570915e-05,4.543806426227093e-05,13.0,1511.0,100,,5.294206426150393e-05
1,0.0,100,10,True,skl,5.3785042837262154e-05,0.00010408705566078424,6.541900802403688e-05,5.6248182663694027e-05,5.436601350083947e-05,predict,5.3785042837262154e-05,5.408702418208122e-05,,,100,1.0,6.772004846783368e-05
