method,lib,skl_nb_base_estimators,skl_rf_nodes,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,skl,101.0,700.0,1,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.008847813121974468,0.009276414290070534,0.008870366960763931,0.008928944356739521,0.008927539829164744,0.008847813121974468,0.009163079823599934,10,0.00887851882725954,0,,,,
predict,onxpython_compiled,,,1,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0014657527208328247,0.0029957853257656097,0.0028287572786211967,0.0029239384457468987,0.0027295803651213647,0.0018882735509121703,0.0029957853257656097,10,0.002877303399145603,0,1.0,12.0,26399.0,
predict,onxonnxruntime1,,,1,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,3.2201409339904785e-05,0.00011993013322353363,3.2794661819934845e-05,3.488361835479736e-05,4.244809970259667e-05,3.2201409339904785e-05,9.324575226991722e-05,10,3.313319757580757e-05,0,1.0,12.0,26399.0,
predict_proba,skl,101.0,700.0,1,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.008875949308276176,0.009284128434956074,0.009021271020174026,0.009091091342270374,0.009041684679687023,0.008875949308276176,0.009259572093475176,10,0.009039335418492556,0,,,,
predict_proba,onxpython_compiled,,,1,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015416154637932777,0.002949831075966358,0.0028015365824103355,0.002912033349275589,0.002724882774055004,0.0019440271362565862,0.002949831075966358,10,0.002829082775861025,0,1.0,12.0,26399.0,
predict_proba,onxonnxruntime1,,,1,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,3.111269325017929e-05,9.873416274785995e-05,3.152433782815933e-05,3.344099968671799e-05,3.904746845364571e-05,3.111269325017929e-05,7.818909919722901e-05,10,3.1746458262205124e-05,0,1.0,12.0,26399.0,
predict,skl,101.0,700.0,10,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009259277954697609,0.009984852746129036,0.00939954910427332,0.009739560075104237,0.00958066564053297,0.009259277954697609,0.009984852746129036,10,0.009599891025573015,0,,,,
predict,onxpython_compiled,,,10,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0016277218237519264,0.0029647545889019966,0.002841426059603691,0.0028756270185112953,0.002631461899727583,0.0016657577696217707,0.0029647545889019966,10,0.0028448421508073807,0,1.0,12.0,26399.0,
predict,onxonnxruntime1,,,10,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,7.647089660167694e-05,0.00014780182391405106,7.7100470662117e-05,8.307397365570068e-05,8.816290646791458e-05,7.647089660167694e-05,0.00013125573583052579,10,7.81049020588398e-05,0,1.0,12.0,26399.0,
predict_proba,skl,101.0,700.0,10,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.008983872830867767,0.00962949451059103,0.009022997692227364,0.009162483736872673,0.009120053611695766,0.008983872830867767,0.009492627196467731,10,0.009025701321661472,0,,,,
predict_proba,onxpython_compiled,,,10,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015053432434797287,0.004239135421812534,0.002845269627869129,0.0029601044952869415,0.0027688547968864443,0.0015053432434797287,0.004208091627140192,10,0.002910077106207609,0,1.0,12.0,26399.0,
predict_proba,onxonnxruntime1,,,10,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,7.50543549656868e-05,0.0001294286921620369,7.566995918750763e-05,8.011888712644577e-05,8.20329412817955e-05,7.50543549656868e-05,0.00011320811779060158,10,7.609650492668152e-05,0,1.0,12.0,26399.0,
predict,skl,101.0,700.0,100,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009459781460464,0.010232807137072086,0.009792240336537361,0.01000142190605402,0.00986916534602642,0.009459781460464,0.010232807137072086,10,0.009912373032420874,0,,,,
predict,onxpython_compiled,,,100,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0017311358824372292,0.004561755806207657,0.0030788974836468697,0.0031271660700440407,0.0029656157828867437,0.0017311358824372292,0.004432805046664288,10,0.003084141295403242,0,1.0,12.0,26399.0,
predict,onxonnxruntime1,,,100,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0005034273490309715,0.0006039626896381378,0.0005050050094723701,0.0005262456834316254,0.0005207383073866367,0.0005034273490309715,0.000578110065037953,10,0.0005057980306446552,0,1.0,12.0,26399.0,
predict_proba,skl,101.0,700.0,100,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009629528038203716,0.010162940248847008,0.009667198173701763,0.009762906469404697,0.00975447241216898,0.009629528038203716,0.01007265764846707,10,0.009683643002063036,0,,,,
predict_proba,onxpython_compiled,,,100,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0017199153080582619,0.004615631885826588,0.0030611343681812286,0.003098797984421253,0.0029531359672546388,0.0017199153080582619,0.0044520069985613964,10,0.0030755987390875816,0,1.0,12.0,26399.0,
predict_proba,onxonnxruntime1,,,100,1,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0005031805485486984,0.0005807997658848763,0.0005086259916424751,0.0005200067535042763,0.0005197241902351379,0.0005031805485486984,0.0005617125904547353,10,0.0005162223242223263,0,1.0,12.0,26399.0,
predict,skl,101.0,692.0,1,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.008803319185972214,0.009118996560573578,0.00883294828236103,0.008856386877596378,0.008863774687051773,0.008803319185972214,0.009035123219989729,10,0.008842273149639368,0,,,,
predict,onxpython_compiled,,,1,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015063472092151642,0.003016265109181404,0.002827075310051441,0.0029344232752919197,0.0027434606105089187,0.0019242294965359406,0.003016265109181404,10,0.0028360183350741863,0,1.0,12.0,26107.0,
predict,onxonnxruntime1,,,1,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,3.234110772609711e-05,0.00011414475739002228,3.27499583363533e-05,3.481190651655197e-05,4.182392731308937e-05,3.234110772609711e-05,8.919789373114888e-05,10,3.3451709896326065e-05,0,1.0,12.0,26107.0,
predict_proba,skl,101.0,692.0,1,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0087980842217803,0.009261785075068474,0.008821362629532814,0.00886476505547762,0.008891856390982866,0.0087980842217803,0.009160866179056142,10,0.008840700145810843,0,,,,
predict_proba,onxpython_compiled,,,1,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015451041981577873,0.0029356591403484344,0.002776576206088066,0.002918296493589878,0.0027116239070892334,0.0019368218361130666,0.0029356591403484344,10,0.00280887633562088,0,1.0,12.0,26107.0,
predict_proba,onxonnxruntime1,,,1,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,3.1468458473682404e-05,8.053705096244812e-05,3.180280327796936e-05,3.3727847039699554e-05,3.741346299648285e-05,3.1468458473682404e-05,6.571214139519104e-05,10,3.214506432414055e-05,0,1.0,12.0,26107.0,
predict,skl,101.0,692.0,10,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009007236920297146,0.009377586655318737,0.009033196605741978,0.009052003733813763,0.009084139857441187,0.009007236920297146,0.009303854645260925,10,0.009042385965585709,0,,,,
predict,onxpython_compiled,,,10,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015934249386191368,0.0029578721150755882,0.002857898361980915,0.002932945266366005,0.002698744460940361,0.0018801457142920072,0.0029578721150755882,10,0.0028728200122714043,0,1.0,12.0,26107.0,
predict,onxonnxruntime1,,,10,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,7.470790296792984e-05,0.0001384178176522255,7.597077637910843e-05,8.237641304731369e-05,8.36309976875782e-05,7.470790296792984e-05,0.00011977657312487663,10,7.654586806893349e-05,0,1.0,12.0,26107.0,
predict_proba,skl,101.0,692.0,10,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009023050777614117,0.009529565460979939,0.009074397385120392,0.009293264709413052,0.009163366071879864,0.009023050777614117,0.009471464186768454,10,0.00909958966076374,0,,,,
predict_proba,onxpython_compiled,,,10,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.000470687635242939,0.00436013750731945,0.0028456440195441246,0.0029611708596348763,0.0026703278534114363,0.000789530317927204,0.00436013750731945,10,0.0028845113702118397,0,1.0,12.0,26107.0,
predict_proba,onxonnxruntime1,,,10,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,7.511116564273834e-05,0.00013378635048866272,7.550325244665146e-05,8.112192153930664e-05,8.263541385531426e-05,7.511116564273834e-05,0.00011635196342723577,10,7.614633068442345e-05,0,1.0,12.0,26107.0,
predict,skl,101.0,692.0,100,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.00951547734439373,0.010021669790148735,0.009592987596988678,0.009643036872148514,0.009637861046940088,0.00951547734439373,0.009900536246346974,10,0.009603590704500675,0,,,,
predict,onxpython_compiled,,,100,1,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0017407061532139778,0.004565632902085781,0.0030893580988049507,0.00316598080098629,0.00298958346247673,0.0017407061532139778,0.004461386923440724,10,0.0031104101799428463,0,1.0,12.0,26107.0,
