lib,N,axes,edims,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
ort,1,"(1,)","(10, 10)",20,10,0.00022904295474290848,0.0003729183226823807,0.00023742206394672394,0.0002583293244242668,0.000246858736500144,0.00022904295474290848,0.00030535994362900626,20,0.00023886561393737793,0
npy,1,"(1,)","(10, 10)",20,10,0.00012773927301168442,0.000161108560860157,0.00012807175517082214,0.00013050343841314316,0.00013033351860940455,0.00012773927301168442,0.00014430644748776467,20,0.0001285565085709095,0
rtpy,1,"(1,)","(10, 10)",20,10,0.00019501987844705582,0.00023584719747304916,0.0001955665647983551,0.00019730627536773682,0.00019821724854409694,0.00019501987844705582,0.00021518744620522846,20,0.00019627995789051056,0
tf,1,"(1,)","(10, 10)",20,10,0.0010850504040718079,0.001994379796087742,0.0010889265686273575,0.0011902786791324615,0.0011695514433085919,0.0010850504040718079,0.0015449839413543723,20,0.0011315727606415749,0
torch,1,"(1,)","(10, 10)",20,10,0.0001246342435479164,0.01088263001292944,0.00012499280273914337,0.0001277681440114975,0.0006639651488512755,0.0001246342435479164,0.005258838137903996,20,0.00012621143832802773,0
ort,10,"(1,)","(10, 10)",20,10,0.00022791419178247452,0.0002702111378312111,0.00022903457283973694,0.00023184530436992645,0.0002322282176464796,0.00022791419178247452,0.0002497962499743261,20,0.00022983131930232048,0
npy,10,"(1,)","(10, 10)",20,10,0.0001488272100687027,0.00017704255878925323,0.00014956481754779816,0.0001569986343383789,0.0001535580027848482,0.0001488272100687027,0.00016721352664349613,20,0.0001514093019068241,0
rtpy,10,"(1,)","(10, 10)",20,10,0.0002103196457028389,0.00022380612790584564,0.00021099764853715897,0.00021441560238599777,0.00021259230561554432,0.0002103196457028389,0.0002185297613031585,20,0.00021169055253267288,0
tf,10,"(1,)","(10, 10)",20,10,0.0009558266028761864,0.00112911406904459,0.000990135595202446,0.0010351119562983513,0.0010044916998595,0.0009558266028761864,0.0010766390757695856,20,0.0009934352710843086,0
torch,10,"(1,)","(10, 10)",20,10,0.00013063382357358932,0.00015010777860879898,0.00013099424540996552,0.00013665389269590378,0.00013420963659882545,0.00013063382357358932,0.00014278174057684388,20,0.00013254303485155106,0
ort,100,"(1,)","(10, 10)",20,10,0.0003928476944565773,0.000474490225315094,0.0003935769200325012,0.0004110531881451607,0.0004012339282780886,0.0003928476944565773,0.00043693538725839143,20,0.0003941417671740055,0
npy,100,"(1,)","(10, 10)",20,10,0.00042692292481660843,0.00046464335173368454,0.00042815040796995163,0.00045669637620449066,0.00043958378955721855,0.00042692292481660843,0.00046105779333783733,20,0.0004425039514899254,0
