_model,onnxrt_time,onnxrt_std,input_size,original_time,original_std,nb_estimators,nb_onnx_nodes,_tested,onnxruntime,numpy-version,onnx-version,onnxruntime-version,stderr,ratio,ratio_nodes,CPU,CPUI
CustomTransformerAlgebra,1.3421689160168173e-05,5.13444888218685e-07,120.0,4.7778801526874295e-06,2.276204273971407e-07,1,2,True,True,1.17.4,1.6.34,1.0.991,,2.8091305623517644,2.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
CustomTransformerMul,1.3042179867625234e-05,6.773175020070793e-07,120.0,1.9457712769508366e-05,0.00011972752168228445,1,1,True,True,1.17.4,1.6.34,1.0.991,,0.6702832970205659,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
CustomTransformerPipelineLeftAlgebra,1.4320459915325045e-05,4.84780014552547e-07,120.0,5.26249217800796e-05,1.2064921809819435e-06,3,3,True,True,1.17.4,1.6.34,1.0.991,,0.27212315820953575,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
CustomTransformerPipelineRightAlgebra,1.4017055276781321e-05,6.484054614209698e-07,120.0,5.244336719624698e-05,1.2128684711882702e-06,3,3,True,True,1.17.4,1.6.34,1.0.991,,0.26727984921960596,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
CustomTransformerTSNEkNN-OneOffArray,0.0001122222556732595,1.7184382763132428e-06,368.0,0.0003390895065385849,7.283257660676932e-06,5,13,True,True,1.17.4,1.6.34,1.0.991,,0.3309517207383407,2.6,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
CustomTransformerTSNEkNNCustomParser-OneOffArray,0.00011360995238646866,1.4410046440566447e-06,368.0,0.0003390648870263249,6.864763150309908e-06,5,13,True,True,1.17.4,1.6.34,1.0.991,,0.33506846840689825,2.6,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
GaussianMixtureC2,3.152460651472211e-05,9.588627168729976e-07,128.0,0.0001928797077853233,2.3825529169652022e-06,1,13,True,True,1.17.4,1.6.34,1.0.991,,0.16344179943392106,13.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
GaussianMixtureC2Diag,2.9700428247451783e-05,7.487469448537684e-07,128.0,0.00017249748809263112,3.5043259140071433e-06,1,13,True,True,1.17.4,1.6.34,1.0.991,,0.17217890286902415,13.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
GaussianMixtureC2Full,3.256441466510296e-05,7.454572535276333e-07,128.0,0.00019220355525612832,4.115246209036717e-06,1,13,True,True,1.17.4,1.6.34,1.0.991,,0.16942670296451065,13.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
GaussianMixtureC2Spherical,3.0270847491919995e-05,9.953802204895449e-07,128.0,0.00018172304588370025,2.698727156137128e-06,1,13,True,True,1.17.4,1.6.34,1.0.991,,0.16657682213456204,13.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
