test,N,n_jobs,dim,repeat,number,min,max,mean,lower,upper,count,median,error_c
joblib,1000,1,5,3,1,1.7829683381132782,1.828500724863261,1.8083456056968619,1.7829683381132782,1.828500724863261,3,1.8135677541140467,0
memory,1000,1,5,3,1,1.1004644869826734,1.1282921731472015,1.1163779877436657,1.1004644869826734,1.1282921731472015,3,1.1203773031011224,0
no,1000,1,5,3,1,1.2934340049978346,1.3674348720815033,1.3210279763831447,1.2934340049978346,1.3674348720815033,3,1.3022150520700961,0
joblib,1000,2,5,3,1,1.798331520985812,1.9194026179611683,1.8533461533176403,1.798331520985812,1.9194026179611683,3,1.8423043210059404,0
memory,1000,2,5,3,1,1.0854411490727216,1.1098026589024812,1.0944401710294187,1.0854411490727216,1.1098026589024812,3,1.0880767051130533,0
no,1000,2,5,3,1,1.3139440638478845,1.3344742639455944,1.321156272587056,1.3139440638478845,1.3344742639455944,3,1.315050489967689,0
joblib,1000,3,5,3,1,1.7766993739642203,1.8691934060771018,1.8167838347144425,1.7766993739642203,1.8691934060771018,3,1.8044587241020054,0
memory,1000,3,5,3,1,1.10722267604433,1.1441431629937142,1.126067043049261,1.10722267604433,1.1441431629937142,3,1.1268352901097387,0
no,1000,3,5,3,1,1.286961092846468,1.3315221129450947,1.315266497588406,1.286961092846468,1.3315221129450947,3,1.3273162869736552,0
joblib,10000,1,5,3,1,9.436472693225369,9.827021243982017,9.61561440404815,9.436472693225369,9.827021243982017,3,9.583349274937063,0
memory,10000,1,5,3,1,6.96580516314134,8.525300052016973,7.998013600396614,6.96580516314134,8.525300052016973,3,8.502935586031526,0
no,10000,1,5,3,1,9.247950452147052,9.613569081062451,9.470597236417234,9.247950452147052,9.613569081062451,3,9.5502721760422,0
joblib,10000,2,5,3,1,9.176923837978393,9.942299952963367,9.498130654605726,9.176923837978393,9.942299952963367,3,9.37516817287542,0
memory,10000,2,5,3,1,8.170745332958177,9.48452916694805,8.948095043267434,8.170745332958177,9.48452916694805,3,9.189010629896075,0
no,10000,2,5,3,1,8.717903506942093,9.64119510888122,9.102999559991682,8.717903506942093,9.64119510888122,3,8.949900064151734,0
joblib,10000,3,5,3,1,8.113180208019912,10.465897973859683,9.184503755299374,8.113180208019912,10.465897973859683,3,8.974433084018528,0
memory,10000,3,5,3,1,7.809796686982736,9.608935812022537,8.699719355364019,7.809796686982736,9.608935812022537,3,8.680425567086786,0
no,10000,3,5,3,1,7.691796964034438,10.057543006027117,9.00314732734114,7.691796964034438,10.057543006027117,3,9.260102011961862,0
joblib,20000,1,5,3,1,18.80493051907979,27.286930636968464,22.303780213696882,18.80493051907979,27.286930636968464,3,20.819479485042393,0
memory,20000,1,5,3,1,20.631986174965277,24.93107848102227,22.917380387041096,20.631986174965277,24.93107848102227,3,23.189076505135745,0
no,20000,1,5,3,1,18.666428141994402,28.113513136049733,22.601372178643942,18.666428141994402,28.113513136049733,3,21.02417525788769,0
joblib,20000,2,5,3,1,19.718407752923667,32.41094571584836,25.30044358658294,19.718407752923667,32.41094571584836,3,23.771977290976793,0
memory,20000,2,5,3,1,16.25667089014314,26.772293926915154,22.758363753712427,16.25667089014314,26.772293926915154,3,25.246126444078982,0
no,20000,2,5,3,1,18.490266559179872,34.142199884168804,25.057761039429653,18.490266559179872,34.142199884168804,3,22.540816674940288,0
joblib,20000,3,5,3,1,22.72707646386698,24.233035650104284,23.335841975640506,22.72707646386698,24.233035650104284,3,23.047413812950253,0
memory,20000,3,5,3,1,17.9848693870008,25.800500043900684,22.305621665281553,17.9848693870008,25.800500043900684,3,23.13149556494318,0
no,20000,3,5,3,1,21.502535927807912,24.942134535172954,22.88571905732776,21.502535927807912,24.942134535172954,3,22.212486709002405,0
joblib,1000,1,10,3,1,1.8100518239662051,2.0925832339562476,1.9128031076397747,1.8100518239662051,2.0925832339562476,3,1.8357742649968714,0
memory,1000,1,10,3,1,1.0912471790798008,1.1440599909983575,1.1159290526993573,1.0912471790798008,1.1440599909983575,3,1.1124799880199134,0
no,1000,1,10,3,1,1.3865343621000648,1.6564621538855135,1.53874040596808,1.3865343621000648,1.6564621538855135,3,1.5732247019186616,0
joblib,1000,2,10,3,1,1.8604526759590954,1.9657417188864201,1.9121620822697878,1.8604526759590954,1.9657417188864201,3,1.9102918519638479,0
memory,1000,2,10,3,1,1.1134159511420876,1.1300141050014645,1.1209425694153954,1.1134159511420876,1.1300141050014645,3,1.1193976521026343,0
no,1000,2,10,3,1,1.3548866889905185,1.567409467883408,1.4359237259874742,1.3548866889905185,1.567409467883408,3,1.3854750210884959,0
joblib,1000,3,10,3,1,1.8193042748607695,1.872973843012005,1.8395103592580806,1.8193042748607695,1.872973843012005,3,1.826252959901467,0
memory,1000,3,10,3,1,1.1156868000980467,1.1284839399158955,1.1210338710031162,1.1156868000980467,1.1284839399158955,3,1.1189308729954064,0
no,1000,3,10,3,1,1.374599342001602,1.421202729921788,1.395414751643936,1.374599342001602,1.421202729921788,3,1.3904421830084175,0
joblib,10000,1,10,3,1,9.35871119890362,10.362007019110024,9.81080259863908,9.35871119890362,10.362007019110024,3,9.711689577903599,0
memory,10000,1,10,3,1,7.677310437196866,10.323731926968321,8.704843539356565,7.677310437196866,10.323731926968321,3,8.113488253904507,0
no,10000,1,10,3,1,9.355424631154165,9.876017577946186,9.625302764043832,9.355424631154165,9.876017577946186,3,9.644466083031148,0
