N,count,dim,error_c,lower,max,max3,mean,median,min,min3,number,repeat,test,upper
10,100,5,0,0.00018234411254525185,0.0002948096953332424,0.0002179499715566635,0.0001911779912188649,0.00018639536574482918,0.00018234411254525185,0.00018277112394571304,1,100,SGD-ONLY,0.0002174375814870662
10,100,5,0,0.0004968028515577316,0.0005542756989598274,0.0005474570207297802,0.000508941630832851,0.0005037540104240179,0.0004968028515577316,0.0004976280033588409,1,100,SGD-SKL,0.0005345846248560639
10,100,5,0,0.0002316320315003395,0.0002846349962055683,0.0002662418410181999,0.00023751564789563416,0.00023422273807227612,0.0002316320315003395,0.00023186905309557915,1,100,SGD-FAST,0.00025556349515052707
10,100,5,0,0.0004729689098894596,0.0005183578468859196,0.0005063801072537899,0.0004809248587116599,0.0004762895405292511,0.0004729689098894596,0.00047333166003227234,1,100,SGD-SLOW,0.0005016045597425061
100,100,5,0,0.00020081503316760063,0.00023391423746943474,0.00022813212126493454,0.00020620224066078663,0.00020354916341602802,0.00020081503316760063,0.0002014869824051857,1,100,SGD-ONLY,0.00021989064284117757
100,100,5,0,0.0005291351117193699,0.0006020390428602695,0.0005729352124035358,0.0005411993339657783,0.0005361924413591623,0.0005291351117193699,0.0005312161520123482,1,100,SGD-SKL,0.0005664181142966683
100,100,5,0,0.00025756191462278366,0.000297298189252615,0.0002952953800559044,0.000265362705104053,0.0002628886140882969,0.00025756191462278366,0.0002588448114693165,1,100,SGD-FAST,0.0002806770008515827
100,100,5,0,0.0005026436410844326,0.000587203074246645,0.0005505410954356194,0.0005140687944367528,0.0005078783724457026,0.0005026436410844326,0.00050387904047966,1,100,SGD-SLOW,0.0005421166237116802
1000,100,5,0,0.00038686906918883324,0.0004342510364949703,0.0004189261235296726,0.0003931564837694168,0.00038970657624304295,0.00038686906918883324,0.0003869440406560898,1,100,SGD-ONLY,0.0004107322869837873
1000,100,5,0,0.0008470900356769562,0.0009091929532587528,0.0008948501199483871,0.0008620155649259687,0.0008570062927901745,0.0008470900356769562,0.0008493768982589245,1,100,SGD-SKL,0.000887876641425456
1000,100,5,0,0.0005518100224435329,0.0005967020988464355,0.0005932399071753025,0.0005616042483597994,0.0005565229803323746,0.0005518100224435329,0.0005527590401470661,1,100,SGD-FAST,0.0005826513355296256
1000,100,5,0,0.0008519790135324001,0.0010381187312304974,0.000955505296587944,0.000880148122087121,0.0008710694964975119,0.0008519790135324001,0.000855729915201664,1,100,SGD-SLOW,0.0009365489611671874
10,100,10,0,0.0001853560097515583,0.0002629128284752369,0.00022024381905794144,0.00019221238791942597,0.00018950947560369968,0.0001853560097515583,0.0001876428723335266,1,100,SGD-ONLY,0.00021148779982710505
10,100,10,0,0.0010621361434459686,0.00117397028952837,0.0011561596766114235,0.0010853864531964064,0.0010767322964966297,0.0010621361434459686,0.0010656947270035744,1,100,SGD-SKL,0.0011282328388523698
10,100,10,0,0.0002665952779352665,0.00032830191776156425,0.0003051459789276123,0.0002738780854269862,0.00026906351558864117,0.0002665952779352665,0.00026682205498218536,1,100,SGD-FAST,0.0002963939306690276
10,100,10,0,0.0010477942414581776,0.0012219860218465328,0.0011932440102100372,0.0011019656108692288,0.0010864303912967443,0.0010477942414581776,0.0010486571118235588,1,100,SGD-SLOW,0.0011882841988228607
100,100,10,0,0.0002151820808649063,0.00038628093898296356,0.00033581582829356194,0.0002528963889926672,0.00024269800633192062,0.0002151820808649063,0.0002165599726140499,1,100,SGD-ONLY,0.0003265728072368036
100,100,10,0,0.0011422457173466682,0.0014138459227979183,0.0014006160199642181,0.001205849889665842,0.0011864728294312954,0.0011422457173466682,0.0011478629894554615,1,100,SGD-SKL,0.0013252450902200804
100,100,10,0,0.00032504787668585777,0.0004193591885268688,0.00038327695801854134,0.00033852244261652233,0.0003352344501763582,0.00032504787668585777,0.0003253491595387459,1,100,SGD-FAST,0.00036852886209524086
100,100,10,0,0.0011194190010428429,0.0014349250122904778,0.0013689501211047173,0.0011689545121043921,0.001136617036536336,0.0011194190010428429,0.0011221449822187424,1,100,SGD-SLOW,0.0013021447686827892
1000,100,10,0,0.0004879683256149292,0.0005716173909604549,0.0005323584191501141,0.0004972625197842717,0.0004930882714688778,0.0004879683256149292,0.0004890672862529755,1,100,SGD-ONLY,0.0005213784114309226
1000,100,10,0,0.0018044193275272846,0.001931619830429554,0.0018940232694149017,0.0018355758814141154,0.0018275664187967777,0.0018044193275272846,0.0018110857345163822,1,100,SGD-SKL,0.00188374116995276
1000,100,10,0,0.0009005251340568066,0.0010931966826319695,0.0010757409036159515,0.0009450047602877021,0.0009346343576908112,0.0009005251340568066,0.0009007765911519527,1,100,SGD-FAST,0.0010374035804560186
1000,100,10,0,0.0019604689441621304,0.0022665131837129593,0.002218916080892086,0.0020381996128708123,0.0020201050210744143,0.0019604689441621304,0.0019655260257422924,1,100,SGD-SLOW,0.002175161564272541
10,100,20,0,0.0002055121585726738,0.0005502267740666866,0.0004910980351269245,0.00032391441985964777,0.00032723182812333107,0.0002055121585726738,0.0002095308154821396,1,100,SGD-ONLY,0.00048113419336545904
10,100,20,0,0.003163693007081747,0.0036868536844849586,0.0036517451517283916,0.0033823850145563482,0.003363450523465872,0.003163693007081747,0.0031748549081385136,1,100,SGD-SKL,0.0036541995752170215
10,100,20,0,0.0003402070142328739,0.000389923807233572,0.00038670189678668976,0.00035043315961956977,0.0003451176453381777,0.0003402070142328739,0.0003409590572118759,1,100,SGD-FAST,0.00037265714135263194
10,100,20,0,0.003091772086918354,0.0032894406467676163,0.0032293801195919514,0.0031400695675984024,0.003135084407404065,0.003091772086918354,0.003098590299487114,1,100,SGD-SLOW,0.0032011204369236713
100,100,20,0,0.0002454463392496109,0.0004137619398534298,0.0004125963896512985,0.00027247405145317314,0.00025382963940501213,0.0002454463392496109,0.0002479543909430504,1,100,SGD-ONLY,0.0003587412191741783
100,100,20,0,0.0033909240494350273,0.0036892727948725224,0.0036473898217082024,0.00351400095038116,0.003498058533295989,0.003389089833945036,0.0034156739711761475,1,100,SGD-SKL,0.0036370778513272924
100,100,20,0,0.000478960108011961,0.0005362848751246929,0.0005219206213951111,0.0004889987967908382,0.00048426585271954536,0.000478960108011961,0.00047942670062184334,1,100,SGD-FAST,0.0005123313287524382
100,100,20,0,0.0034406647306408165,0.003981417044997215,0.0038194190710783005,0.00363300371915102,0.0036201286129653454,0.0034368718042969704,0.0034685861319303513,1,100,SGD-SLOW,0.0038253427076612237
1000,100,20,0,0.0009467480704188347,0.0013780677691102028,0.0012940512970089912,0.0010560709331184626,0.0010298870038241148,0.0009467480704188347,0.0009552738629281521,1,100,SGD-ONLY,0.0012242566488480503
1000,100,20,0,0.005908485967665911,0.006573693826794624,0.006505872122943401,0.006151350466534495,0.006118653574958444,0.005908485967665911,0.005941761191934347,1,100,SGD-SKL,0.006404891848519242
1000,100,20,0,0.001821004319936037,0.0026004151441156864,0.002484359312802553,0.002043693382292986,0.0019585720729082823,0.001821004319936037,0.0018313508480787277,1,100,SGD-FAST,0.002439488154490033
1000,100,20,0,0.006482553202658892,0.00717348325997591,0.007098581176251173,0.006615438475273549,0.00657522096298635,0.006482553202658892,0.0065108537673950195,1,100,SGD-SLOW,0.006876191512666396
