N,count,degree,dim,error_c,interaction_only,lower,max,max3,mean,median,min,min3,number,order,repeat,test,upper
1,10,2,2,0,False,6.175972521305084e-05,0.00010458892211318016,7.934030145406723e-05,7.39161390811205e-05,6.974046118557453e-05,6.175972521305084e-05,6.66729174554348e-05,1,C,10,PF-0.20.2,9.756775419252809e-05
1,10,2,2,0,False,9.860517457127571e-05,0.00013020308688282967,0.000111347995698452,0.00010833651758730411,0.00010643294081091881,9.860517457127571e-05,0.00010509788990020752,1,C,10,PF-DEV,0.00012495816272457453
1,10,2,2,0,False,6.0539692640304565e-05,7.657613605260849e-05,6.151711568236351e-05,6.278902292251587e-05,6.131455302238464e-05,6.0539692640304565e-05,6.1009079217910767e-05,1,F,10,PF-0.20.2,7.186769464845307e-05
1,10,2,2,0,False,9.735627099871635e-05,0.00012406427413225174,0.00010359007865190506,0.00010287165641784669,9.938608855009079e-05,9.735627099871635e-05,9.88873653113842e-05,1,F,10,PF-DEV,0.00011828994253329649
10,10,2,2,0,False,6.807688623666763e-05,9.227171540260315e-05,6.911298260092735e-05,7.156515493988991e-05,6.882823072373867e-05,6.807688623666763e-05,6.868690252304077e-05,1,C,10,PF-0.20.2,8.544452517831291e-05
10,10,2,2,0,False,0.00010816100984811783,0.0001221718266606331,0.00011198222637176514,0.00011166362091898918,0.00011007045395672321,0.00010816100984811783,0.00010963203385472298,1,C,10,PF-DEV,0.00011945632925897949
10,10,2,2,0,False,6.681075319647789e-05,8.305395022034645e-05,6.925081834197044e-05,6.921729072928429e-05,6.710155867040157e-05,6.681075319647789e-05,6.706267595291138e-05,1,F,10,PF-0.20.2,7.853443723510949e-05
10,10,2,2,0,False,0.00010574189946055412,0.00012600002810359,0.00011275894939899445,0.0001105036586523056,0.00010901177302002907,0.00010574189946055412,0.00010641058906912804,1,F,10,PF-DEV,0.00012193069290866265
100,10,2,2,0,False,7.267296314239502e-05,8.610310032963753e-05,7.479311898350716e-05,7.528439164161682e-05,7.326505146920681e-05,7.267296314239502e-05,7.282616570591927e-05,1,C,10,PF-0.20.2,8.358120256372928e-05
100,10,2,2,0,False,0.00011415965855121613,0.000130590982735157,0.00011868774890899658,0.00011785565875470639,0.00011643534526228905,0.00011415965855121613,0.00011493824422359467,1,C,10,PF-DEV,0.00012708675184919547
100,10,2,2,0,False,7.019704207777977e-05,8.397502824664116e-05,7.23651610314846e-05,7.235757075250149e-05,7.086480036377907e-05,7.019704207777977e-05,7.038004696369171e-05,1,F,10,PF-0.20.2,8.015302227453724e-05
100,10,2,2,0,False,0.00011078920215368271,0.00012600142508745193,0.00011861510574817657,0.00011476515792310237,0.00011245463974773884,0.00011078920215368271,0.00011163158342242241,1,F,10,PF-DEV,0.0001241049311697783
1000,10,2,2,0,False,9.850266677233639e-05,0.00011166231706738472,0.00010941410437226295,0.00010682358406484127,0.00010772771202027798,9.578512981534004e-05,0.00010568695142865181,1,C,10,PF-0.20.2,0.00011166231706738472
1000,10,2,2,0,False,0.00015058042481541634,0.0001875939778983593,0.00016097305342555046,0.00015933304093778132,0.00015555694699287415,0.00015058042481541634,0.00015434110537171364,1,C,10,PF-DEV,0.00018038835850280085
1000,10,2,2,0,False,9.389827027916908e-05,0.00011984119191765785,9.491993114352226e-05,9.707985445857048e-05,9.441678412258625e-05,9.389827027916908e-05,9.429128840565681e-05,1,F,10,PF-0.20.2,0.00011199104177741907
1000,10,2,2,0,False,0.00013275817036628723,0.0001469086855649948,0.00013734307140111923,0.0001365446951240301,0.0001352864783257246,0.00013275817036628723,0.00013417424634099007,1,F,10,PF-DEV,0.0001445795864254743
10000,10,2,2,0,False,0.0002917270176112652,0.0003846893087029457,0.00038049789145588875,0.00035837944597005844,0.000378376804292202,0.0002917270176112652,0.00037808436900377274,1,C,10,PF-0.20.2,0.0003846893087029457
10000,10,2,2,0,False,0.00042040320113301277,0.0004901471547782421,0.00043032271787524223,0.00043280329555273056,0.00042626657523214817,0.00042040320113301277,0.00042479438707232475,1,C,10,PF-DEV,0.0004715092429151379
10000,10,2,2,0,False,0.00030297087505459785,0.00033122673630714417,0.00030840281397104263,0.00030922573059797285,0.00030661863274872303,0.00030297087505459785,0.00030640605837106705,1,F,10,PF-0.20.2,0.00032393812000578457
10000,10,2,2,0,False,0.00033969804644584656,0.0003854399546980858,0.0003418354317545891,0.0003471469972282648,0.00034100632183253765,0.00033969804644584656,0.0003404119051992893,1,F,10,PF-DEV,0.000374688753845526
1,10,2,2,0,True,3.908202052116394e-05,0.0004367469809949398,4.5847147703170776e-05,8.090785704553127e-05,4.024384543299675e-05,3.908202052116394e-05,3.9546750485897064e-05,1,C,10,PF-0.20.2,0.000313455919299009
1,10,2,2,0,True,7.483083754777908e-05,9.446684271097183e-05,7.918011397123337e-05,7.870402187108994e-05,7.631094194948673e-05,7.483083754777908e-05,7.594609633088112e-05,1,C,10,PF-DEV,8.977160514502551e-05
1,10,2,2,0,True,3.836723044514656e-05,4.990212619304657e-05,3.943219780921936e-05,4.013795405626297e-05,3.8882484659552574e-05,3.836723044514656e-05,3.8747675716876984e-05,1,F,10,PF-0.20.2,4.667690532617438e-05
1,10,2,2,0,True,7.491186261177063e-05,8.868379518389702e-05,8.16071406006813e-05,7.911683060228825e-05,7.656775414943695e-05,7.491186261177063e-05,7.606344297528267e-05,1,F,10,PF-DEV,8.840352144504798e-05
10,10,2,2,0,True,4.223408177495003e-05,5.792872980237007e-05,4.52348031103611e-05,4.586591385304928e-05,4.4893473386764526e-05,4.223408177495003e-05,4.451582208275795e-05,1,C,10,PF-0.20.2,5.4205250984544874e-05
10,10,2,2,0,True,8.290959522128105e-05,9.35080461204052e-05,8.8514294475317e-05,8.615492843091487e-05,8.438341319561005e-05,8.290959522128105e-05,8.36588442325592e-05,1,C,10,PF-DEV,9.30905304487056e-05
10,10,2,2,0,True,4.148995503783226e-05,5.760509520769119e-05,4.333304241299629e-05,4.3910136446356775e-05,4.2133964598178864e-05,4.148995503783226e-05,4.181591793894768e-05,1,F,10,PF-0.20.2,5.3067535528735376e-05
10,10,2,2,0,True,8.059805259108543e-05,9.350432083010674e-05,8.479831740260124e-05,8.402112871408463e-05,8.282321505248547e-05,8.059805259108543e-05,8.156104013323784e-05,1,F,10,PF-DEV,9.144694523351588e-05
100,10,2,2,0,True,4.355376586318016e-05,6.127264350652695e-05,4.4350046664476395e-05,4.5899022370576856e-05,4.3984269723296165e-05,4.355376586318016e-05,4.3871812522411346e-05,1,C,10,PF-0.20.2,5.6054804503834504e-05
100,10,2,2,0,True,8.325884118676186e-05,9.605893865227699e-05,8.778134360909462e-05,8.635395206511021e-05,8.423812687397003e-05,8.325884118676186e-05,8.37184488773346e-05,1,C,10,PF-DEV,9.417705404944811e-05
100,10,2,2,0,True,4.3404754251241684e-05,5.554966628551483e-05,4.6244822442531586e-05,4.570470191538334e-05,4.404783248901367e-05,4.3404754251241684e-05,4.374608397483826e-05,1,F,10,PF-0.20.2,5.2775608439315886e-05
100,10,2,2,0,True,8.276617154479027e-05,9.732739999890327e-05,8.787913247942924e-05,8.647581562399864e-05,8.501601405441761e-05,8.276617154479027e-05,8.406862616539001e-05,1,F,10,PF-DEV,9.476568750294848e-05
1000,10,2,2,0,True,6.239721551537514e-05,6.747385486960411e-05,6.471201777458191e-05,6.432617083191871e-05,6.43718522042036e-05,6.239721551537514e-05,6.344495341181755e-05,1,C,10,PF-0.20.2,6.701988433876569e-05
1000,10,2,2,0,True,0.00010591885074973106,0.00012823892757296562,0.00011141691356897354,0.00011069928295910358,0.00010906788520514965,0.00010591885074973106,0.00010720686987042427,1,C,10,PF-DEV,0.00012293301594372633
1000,10,2,2,0,True,5.4545700550079346e-05,6.52470625936985e-05,5.5490992963314056e-05,5.621197633445263e-05,5.509587936103344e-05,5.4545700550079346e-05,5.4984819144010544e-05,1,F,10,PF-0.20.2,6.223309609261031e-05
1000,10,2,2,0,True,9.558489546179771e-05,0.00010863272473216057,0.00010017864406108856,9.908182546496392e-05,9.756302461028099e-05,9.558489546179771e-05,9.658699855208397e-05,1,F,10,PF-DEV,0.00010656916581532297
10000,10,2,2,0,True,0.00014625024050474167,0.00020955316722393036,0.00020764395594596863,0.00019029546529054643,0.00020629074424505234,0.00014625024050474167,0.00020573288202285767,1,C,10,PF-0.20.2,0.00020955316722393036
10000,10,2,2,0,True,0.0002518678084015846,0.0003107837401330471,0.00026118895038962364,0.0002628612332046032,0.0002577004488557577,0.0002518678084015846,0.00025570765137672424,1,C,10,PF-DEV,0.00029526912681578695
10000,10,2,2,0,True,0.00014644674956798553,0.0001688869670033455,0.00015113689005374908,0.00015241438522934915,0.00014903489500284195,0.00014644674956798553,0.00014822091907262802,1,F,10,PF-0.20.2,0.00016728758429820795
10000,10,2,2,0,True,0.0001938031055033207,0.00022594723850488663,0.00019996799528598785,0.0001998532097786665,0.00019654096104204655,0.0001938031055033207,0.0001958799548447132,1,F,10,PF-DEV,0.0002174690433768951
