n_obs,nfeat,max_depth,method,time_skl,time_ort
1,1,2,predict,7.959800000000072e-05,3.097599999999812e-05
1,1,2,predict_proba,9.577900000000028e-05,3.0065999999999705e-05
10,1,2,predict,7.937199999999756e-05,3.0367000000000033e-05
10,1,2,predict_proba,9.880700000000075e-05,3.119800000000339e-05
100,1,2,predict,8.309600000000028e-05,3.557500000000324e-05
100,1,2,predict_proba,0.00012508500000000034,3.957600000000117e-05
1000,1,2,predict,0.0001271470000000008,4.434899999999686e-05
1000,1,2,predict_proba,0.00019409800000000032,4.328999999999805e-05
10000,1,2,predict,0.00048177399999999704,0.000128531999999999
10000,1,2,predict_proba,0.0008178419999999997,0.00012607199999999707
100000,1,2,predict,0.001963401,0.0010443820000000015
100000,1,2,predict_proba,0.0034726649999999993,0.0011037719999999985
1,1,5,predict,3.4586999999999254e-05,1.3972999999998236e-05
1,1,5,predict_proba,3.941799999999773e-05,1.2311999999998768e-05
10,1,5,predict,4.15320000000019e-05,1.4351999999999698e-05
10,1,5,predict_proba,3.9982999999996774e-05,1.2514000000001246e-05
100,1,5,predict,3.0801000000000304e-05,4.568299999999859e-05
100,1,5,predict_proba,0.00011134699999999942,5.033800000000088e-05
1000,1,5,predict,0.0001404570000000005,4.5134000000000005e-05
1000,1,5,predict_proba,0.00020563399999999897,4.421199999999903e-05
10000,1,5,predict,0.0005988879999999997,0.00015863599999999868
10000,1,5,predict_proba,0.0009193810000000013,0.00018719299999999883
100000,1,5,predict,0.003429076000000002,0.001810092000000001
100000,1,5,predict_proba,0.004024188000000004,0.0012033380000000004
1,1,10,predict,6.616299999999242e-05,3.453399999999718e-05
1,1,10,predict_proba,4.975100000000232e-05,1.5536999999996582e-05
10,1,10,predict,5.025800000000302e-05,2.5895999999994146e-05
10,1,10,predict_proba,4.690000000000083e-05,1.5022000000000091e-05
100,1,10,predict,5.104299999999284e-05,5.729099999999931e-05
100,1,10,predict_proba,0.00016848400000000653,3.50140000000021e-05
1000,1,10,predict,0.00022244699999999896,5.672900000000425e-05
1000,1,10,predict_proba,0.00023921699999999825,4.644400000000104e-05
10000,1,10,predict,0.0008027289999999976,0.00018672699999999764
10000,1,10,predict_proba,0.0010650650000000007,0.00015440700000000085
100000,1,10,predict,0.0044263209999999996,0.0013159260000000029
100000,1,10,predict_proba,0.005901672999999992,0.0012541539999999963
1,1,20,predict,3.125600000000617e-05,1.272000000000162e-05
1,1,20,predict_proba,3.890399999999517e-05,1.2364999999991966e-05
10,1,20,predict,2.9874999999996986e-05,1.337100000000646e-05
10,1,20,predict_proba,4.057500000000047e-05,1.3443999999989131e-05
100,1,20,predict,3.882299999999006e-05,3.951900000000563e-05
100,1,20,predict_proba,0.00012278000000000234,3.55799999999995e-05
1000,1,20,predict,0.00025857300000000196,5.470100000000144e-05
1000,1,20,predict_proba,0.00032119899999999646,5.484199999999717e-05
10000,1,20,predict,0.0012252430000000026,0.00023441200000000605
10000,1,20,predict_proba,0.0014035390000000092,0.00023909000000001511
100000,1,20,predict,0.00855470500000001,0.0019498639999999945
100000,1,20,predict_proba,0.009899535000000004,0.0020304460000000013
1,5,2,predict,3.802800000000772e-05,1.370400000000771e-05
1,5,2,predict_proba,4.5283000000004845e-05,1.3834999999993158e-05
10,5,2,predict,3.6821000000006877e-05,1.4137999999999096e-05
10,5,2,predict_proba,4.7571000000008466e-05,1.5087000000004736e-05
100,5,2,predict,3.493500000001148e-05,3.372099999999989e-05
100,5,2,predict_proba,0.00010670000000001067,3.353299999998782e-05
1000,5,2,predict,0.00012456900000000105,4.250900000000613e-05
1000,5,2,predict_proba,0.0001905089999999987,4.3064000000008206e-05
10000,5,2,predict,0.00018935400000000158,0.00013156300000000343
10000,5,2,predict_proba,0.0003471110000000088,0.00012568399999999258
100000,5,2,predict,0.0018754749999999908,0.0009149859999999955
100000,5,2,predict_proba,0.0034101569999999983,0.001052312999999998
1,5,5,predict,3.753500000000187e-05,1.4537000000007794e-05
1,5,5,predict_proba,4.26519999999897e-05,1.3117000000004708e-05
10,5,5,predict,3.0450999999995786e-05,1.3109000000000037e-05
10,5,5,predict_proba,4.0459999999988835e-05,1.2503000000005926e-05
100,5,5,predict,3.193099999998949e-05,3.740800000000988e-05
100,5,5,predict_proba,0.00011350999999999445,4.569000000000045e-05
1000,5,5,predict,0.00016036899999999577,4.850299999999308e-05
1000,5,5,predict_proba,0.0002158329999999964,4.7826000000004146e-05
10000,5,5,predict,0.0003364100000000114,0.00014144299999999888
10000,5,5,predict_proba,0.0004575990000000019,0.0001413149999999952
100000,5,5,predict,0.003307651999999983,0.0010823579999999923
100000,5,5,predict_proba,0.004524182000000003,0.0011838009999999954
1,5,10,predict,3.768099999998498e-05,1.826400000002337e-05
1,5,10,predict_proba,4.216100000000722e-05,1.3071999999993977e-05
10,5,10,predict,3.0065000000014665e-05,1.2556999999979724e-05
10,5,10,predict_proba,3.986099999998771e-05,1.2708999999979654e-05
100,5,10,predict,3.4269000000008985e-05,3.3631000000013956e-05
100,5,10,predict_proba,0.00011403100000002553,3.4469000000001414e-05
1000,5,10,predict,0.0002008159999999748,4.928899999999459e-05
1000,5,10,predict_proba,0.0002555760000000262,4.7941000000015776e-05
10000,5,10,predict,0.0005911929999999899,0.0002712430000000054
10000,5,10,predict_proba,0.0007147120000000128,0.00017157099999998593
100000,5,10,predict,0.005591393999999994,0.0013770450000000168
100000,5,10,predict_proba,0.006610114999999972,0.0013697400000000214
1,5,20,predict,3.389099999999701e-05,1.3532000000004984e-05
1,5,20,predict_proba,3.86620000000093e-05,1.2636000000014746e-05
10,5,20,predict,3.0233000000023934e-05,1.420500000001823e-05
10,5,20,predict_proba,4.0666000000015856e-05,1.389100000000809e-05
100,5,20,predict,4.1625999999972405e-05,3.705899999999929e-05
100,5,20,predict_proba,0.0001263670000000161,3.773100000000085e-05
1000,5,20,predict,0.00030220699999997433,8.229700000001117e-05
1000,5,20,predict_proba,0.000368222999999972,5.938199999999228e-05
10000,5,20,predict,0.0011344529999999864,0.0002594520000000244
10000,5,20,predict_proba,0.001240035000000006,0.00025309200000002364
100000,5,20,predict,0.011223212222222242,0.0022642977777777734
100000,5,20,predict_proba,0.01227299390243903,0.002097587804878023
1,10,2,predict,3.713899999997494e-05,1.4764999999989925e-05
1,10,2,predict_proba,4.282499999998634e-05,1.3411000000012052e-05
10,10,2,predict,3.039000000001124e-05,1.2668999999974062e-05
10,10,2,predict_proba,3.977700000000084e-05,1.2383999999983075e-05
100,10,2,predict,3.061999999999898e-05,3.5756000000013445e-05
100,10,2,predict_proba,0.00010564599999998592,3.374900000000736e-05
1000,10,2,predict,0.00012664499999999633,4.372100000001211e-05
1000,10,2,predict_proba,0.0001846720000000346,4.4117000000021275e-05
10000,10,2,predict,0.00022679899999999975,0.00014158200000000676
10000,10,2,predict_proba,0.00036452100000001765,0.00012464299999997763
100000,10,2,predict,0.002210378000000013,0.0008893679999999904
100000,10,2,predict_proba,0.0034821559999999962,0.0008807829999999939
1,10,5,predict,3.976699999999056e-05,1.786700000000252e-05
1,10,5,predict_proba,4.368400000000605e-05,1.362499999999045e-05
10,10,5,predict,3.237099999999771e-05,1.3610000000028322e-05
10,10,5,predict_proba,4.157300000002806e-05,1.2708000000003494e-05
100,10,5,predict,3.115099999998705e-05,3.309300000001514e-05
100,10,5,predict_proba,0.0001068130000000167,3.36950000000158e-05
1000,10,5,predict,0.00014381999999997673,5.620600000000309e-05
1000,10,5,predict_proba,0.00020916199999998497,4.445100000001645e-05
10000,10,5,predict,0.00027592300000002013,0.00014461000000000722
10000,10,5,predict_proba,0.0004101070000000107,0.00013776700000001085
100000,10,5,predict,0.002894359999999949,0.0010391260000000102
100000,10,5,predict_proba,0.004076438999999965,0.0011859150000000085
1,10,10,predict,4.110900000000584e-05,1.5069999999965944e-05
1,10,10,predict_proba,4.468599999995604e-05,1.4200999999971487e-05
10,10,10,predict,3.293100000000493e-05,1.4378000000050405e-05
10,10,10,predict_proba,4.321199999999692e-05,1.3302999999993403e-05
100,10,10,predict,3.417399999996462e-05,3.36449999999644e-05
100,10,10,predict_proba,0.00010984300000004055,3.38949999999727e-05
1000,10,10,predict,0.00017620000000000857,5.7910000000021e-05
1000,10,10,predict_proba,0.00023232800000002384,4.5854999999974664e-05
10000,10,10,predict,0.00042360299999998573,0.0001561219999999963
10000,10,10,predict_proba,0.0005504600000000437,0.00017220200000004127
100000,10,10,predict,0.004286646999999988,0.0012011640000000056
100000,10,10,predict_proba,0.005523562999999996,0.0011588440000000588
1,10,20,predict,4.139199999997345e-05,1.8170999999966853e-05
1,10,20,predict_proba,4.5158000000000695e-05,1.3968999999960374e-05
10,10,20,predict,3.37480000000312e-05,1.4833999999979142e-05
10,10,20,predict_proba,4.2577999999977575e-05,1.3823999999971193e-05
100,10,20,predict,3.891400000000544e-05,3.932999999996412e-05
100,10,20,predict_proba,0.00012106799999997975,3.495999999998389e-05
1000,10,20,predict,0.00024428600000000247,5.343299999999829e-05
1000,10,20,predict_proba,0.00030734599999995285,5.389499999999714e-05
