n_obs,nfeat,fit_intercept,method,repeat,time_skl,time_ort
1,10,True,predict_proba,500,0.00010931979999999975,3.9074199999999945e-05
10,10,True,predict_proba,500,6.955620000000006e-05,1.964800000000011e-05
100,10,True,predict_proba,500,6.19904e-05,1.6239600000000464e-05
1000,10,True,predict_proba,50,6.859479999999962e-05,3.297259999999991e-05
10000,10,True,predict_proba,50,0.00021974140000000019,0.00032877460000000004
100000,10,True,predict_proba,50,0.004970966400000002,0.0032157355999999984
1,50,True,predict_proba,500,3.977579999999747e-05,1.3964600000001327e-05
10,50,True,predict_proba,500,3.9662399999997433e-05,1.4641199999999798e-05
100,50,True,predict_proba,500,4.944119999999685e-05,1.848420000000317e-05
1000,50,True,predict_proba,50,0.00013251840000000215,8.916400000000025e-05
10000,50,True,predict_proba,50,0.0017022699999999986,0.0004140481999999963
100000,50,True,predict_proba,50,0.03495972039999998,0.009599607399999996
